# i j vmax_ij_m_per_s road_class free_flow_speed_kmh
0 1 9.722222 suburban 35.0
0 2 8.333333 urban 30.0
0 3 9.722222 suburban 35.0
0 4 8.333333 urban 30.0
0 5 8.333333 urban 30.0
0 6 9.722222 suburban 35.0
0 7 9.722222 suburban 35.0
0 8 9.722222 suburban 35.0
0 9 8.333333 urban 30.0
0 10 9.722222 suburban 35.0
0 11 9.722222 suburban 35.0
0 12 8.333333 urban 30.0
0 13 8.333333 urban 30.0
0 14 9.722222 suburban 35.0
0 15 9.722222 suburban 35.0
0 16 8.333333 urban 30.0
0 17 9.722222 suburban 35.0
0 18 8.333333 urban 30.0
0 19 9.722222 suburban 35.0
0 20 9.722222 suburban 35.0
0 21 9.722222 suburban 35.0
0 22 8.333333 urban 30.0
0 23 9.722222 suburban 35.0
0 24 8.333333 urban 30.0
0 25 8.333333 urban 30.0
0 26 9.722222 suburban 35.0
0 27 8.333333 urban 30.0
0 28 9.722222 suburban 35.0
0 29 9.722222 suburban 35.0
0 30 9.722222 suburban 35.0
0 31 9.722222 suburban 35.0
0 32 8.333333 urban 30.0
0 33 9.722222 suburban 35.0
0 34 9.722222 suburban 35.0
0 35 8.333333 urban 30.0
0 36 9.722222 suburban 35.0
0 37 9.722222 suburban 35.0
0 38 8.333333 urban 30.0
0 39 8.333333 urban 30.0
0 40 9.722222 suburban 35.0
0 41 9.722222 suburban 35.0
0 42 9.722222 suburban 35.0
0 43 8.333333 urban 30.0
0 44 9.722222 suburban 35.0
0 45 8.333333 urban 30.0
0 46 8.333333 urban 30.0
0 47 9.722222 suburban 35.0
0 48 8.333333 urban 30.0
0 49 9.722222 suburban 35.0
0 50 8.333333 urban 30.0
0 51 9.722222 suburban 35.0
0 52 9.722222 suburban 35.0
0 53 9.722222 suburban 35.0
0 54 8.333333 urban 30.0
0 55 8.333333 urban 30.0
0 56 9.722222 suburban 35.0
0 57 9.722222 suburban 35.0
0 58 9.722222 suburban 35.0
0 59 9.722222 suburban 35.0
0 60 8.333333 urban 30.0
0 61 9.722222 suburban 35.0
0 62 8.333333 urban 30.0
0 63 8.333333 urban 30.0
0 64 9.722222 suburban 35.0
0 65 9.722222 suburban 35.0
0 66 9.722222 suburban 35.0
0 67 9.722222 suburban 35.0
0 68 8.333333 urban 30.0
0 69 9.722222 suburban 35.0
0 70 9.722222 suburban 35.0
0 71 8.333333 urban 30.0
0 72 9.722222 suburban 35.0
0 73 8.333333 urban 30.0
0 74 8.333333 urban 30.0
0 75 9.722222 suburban 35.0
0 76 8.333333 urban 30.0
0 77 9.722222 suburban 35.0
0 78 8.333333 urban 30.0
0 79 8.333333 urban 30.0
0 80 9.722222 suburban 35.0
0 81 8.333333 urban 30.0
0 82 8.333333 urban 30.0
0 83 9.722222 suburban 35.0
0 84 9.722222 suburban 35.0
0 85 9.722222 suburban 35.0
0 86 9.722222 suburban 35.0
0 87 9.722222 suburban 35.0
0 88 8.333333 urban 30.0
0 89 8.333333 urban 30.0
0 90 8.333333 urban 30.0
0 91 8.333333 urban 30.0
0 92 8.333333 urban 30.0
0 93 8.333333 urban 30.0
0 94 9.722222 suburban 35.0
0 95 8.333333 urban 30.0
0 96 8.333333 urban 30.0
0 97 8.333333 urban 30.0
0 98 9.722222 suburban 35.0
0 99 9.722222 suburban 35.0
0 100 9.722222 suburban 35.0
1 0 9.722222 suburban 35.0
1 2 8.333333 urban 30.0
1 3 11.111111 arterial 40.0
1 4 11.111111 arterial 40.0
1 5 11.111111 arterial 40.0
1 6 8.333333 urban 30.0
1 7 9.722222 suburban 35.0
1 8 8.333333 urban 30.0
1 9 9.722222 suburban 35.0
1 10 8.333333 urban 30.0
1 11 11.111111 arterial 40.0
1 12 9.722222 suburban 35.0
1 13 9.722222 suburban 35.0
1 14 11.111111 arterial 40.0
1 15 11.111111 arterial 40.0
1 16 8.333333 urban 30.0
1 17 11.111111 arterial 40.0
1 18 11.111111 arterial 40.0
1 19 11.111111 arterial 40.0
1 20 8.333333 urban 30.0
1 21 11.111111 arterial 40.0
1 22 9.722222 suburban 35.0
1 23 11.111111 arterial 40.0
1 24 8.333333 urban 30.0
1 25 8.333333 urban 30.0
1 26 11.111111 arterial 40.0
1 27 9.722222 suburban 35.0
1 28 8.333333 urban 30.0
1 29 11.111111 arterial 40.0
1 30 8.333333 urban 30.0
1 31 8.333333 urban 30.0
1 32 9.722222 suburban 35.0
1 33 8.333333 urban 30.0
1 34 11.111111 arterial 40.0
