id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_30mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,
1,Trường Cao đẳng Hà Nội [S],S,Trường học,Hoàng Mai,20.8338189,105.8325427,-1293.384093,-15921.011911,1,1.07,60,60,1800,20737.700,19117.600,True,83.062,reality.1000.1,489,true
2,Không có tên [S],S,Cửa hàng đồ uống,Thanh Xuân,20.9002924,105.8530445,835.223390,-8529.495955,1,1.11,60,60,1800,9164.200,9293.400,True,7.644,reality.1000.1,493,true
3,The Coffee House [SE],SE,Cửa hàng đồ uống,Thanh Xuân,20.8634161,105.9147526,7242.091245,-12629.953429,1,1.40,60,60,3600,17544.300,17488.800,True,52.62,reality.1000.1,406,true
4,Co.opmart [N],N,Siêu thị,Thanh Xuân,21.0846041,105.8014391,-4522.727648,11965.030006,1,1.78,60,60,1800,16707.000,17028.200,True,46.766,reality.1000.1,106,true
5,Trường Mầm non Tứ Hiệp (điểm Đồng Trì),C,Trường học,Hoàng Mai,20.9407141,105.8617744,1741.608705,-4034.807989,1,0.29,60,60,2700,7576.700,8818.300,True,22.812,reality.1000.1,988,true
6,Không có tên [W],W,Cửa hàng đồ uống,Thanh Xuân,20.9964168,105.7158505,-13408.997848,2159.049652,1,1.04,60,60,2700,19257.300,18791.000,True,12.249,reality.1000.1,724,true
7,Không có tên [SW],SW,Trường học,Hoàng Mai,20.8595718,105.7638415,-8426.313318,-13057.420085,1,0.64,60,60,3600,21711.000,23400.200,True,41.569,reality.1000.1,570,true
8,Cục Dự trữ Nhà nước khu vực Hà Nội [NW],NW,Uỷ ban nhân dân,Thanh Xuân,21.0918287,105.7353729,-11382.076957,12768.368873,1,0.47,60,60,1800,22502.400,22332.300,True,4.657,reality.1000.1,791,true
9,Cafe Dinh [W],W,Cửa hàng đồ uống,Hoàng Mai,20.9340237,105.7498144,-9882.682515,-4778.746526,1,0.30,60,60,2700,15832.000,15813.600,True,208.078,reality.1000.1,736,true
10,Trường Đại học Công nghệ và Quản lý Hữu Nghị [E],E,Trường học,Hoàng Mai,20.9767463,105.9923709,15300.841899,-28.210153,1,0.84,60,60,3600,20913.500,23510.500,True,2.187,reality.1000.1,267,true
