id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_20mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,
1,Cafe Dinh [NW],NW,Cửa hàng đồ uống,Hoàng Mai,21.0421318,105.7498144,-9882.682515,7242.325723,1,1.63,60,60,1800,16346.400,15550.200,True,27.587,reality.1000.1,856,true
2,Tịnh Cafe [N],N,Cửa hàng đồ uống,Thanh Xuân,21.1055377,105.8219576,-2392.386281,14292.740123,1,0.23,60,60,3600,22413.100,21765.800,True,34.417,reality.1000.1,89,true
3,Không có tên [N],N,Cửa hàng đồ uống,Hoàng Mai,21.0900057,105.8746624,3079.710396,12565.660522,1,0.72,60,60,1800,17689.100,19174.000,True,73.177,reality.1000.1,27,true
4,Không có tên [SW],SW,Uỷ ban nhân dân,Thanh Xuân,20.8846754,105.7355173,-11367.084570,-10266.027124,1,1.74,60,60,1800,24298.100,25334.900,True,62.472,reality.1000.1,571,true
5,Trường Tiểu học Tam Hiệp [N],N,Trường học,Hoàng Mai,21.0521912,105.8420852,-302.630261,8360.879968,1,0.64,60,60,1800,11475.800,9814.600,True,31.2,reality.1000.1,56,true
6,Trường Tiểu học Đại Kim [E],E,Trường học,Hoàng Mai,20.9719957,105.9489450,10792.130680,-556.452771,1,0.68,60,60,1800,16975.600,19407.500,True,41.092,reality.1000.1,273,true
7,Trường Mầm non Lĩnh Nam (cơ sở 2) [NW],NW,Trường học,Hoàng Mai,21.0884768,105.7816386,-6578.522381,12395.654599,1,1.93,60,60,1800,19469.900,19014.500,True,20.379,reality.1000.1,861,true
8,Trường Mầm non Kim Lan [NW],NW,Trường học,Hoàng Mai,21.0641075,105.7984144,-4836.768320,9685.912073,1,0.53,60,60,2700,13811.500,14052.600,True,3.322,reality.1000.1,890,true
9,WinMart+ [W],W,Siêu thị,Hoàng Mai,20.9618215,105.7404818,-10851.643396,-1687.772194,1,1.33,60,60,2700,17051.100,16676.600,True,8.418,reality.1000.1,661,true
