id x_km y_km x_m y_m dronable demand_kg drone_service_sec truck_service_sec deadline_sec
1 -7.044367 -1.871228 -7044.366994 -1871.227783 1 1.68 60 60 2700
2 8.441111 0.986757 8441.110500 986.757083 1 4.34 60 60 2700
3 -7.855581 -7.076651 -7855.580771 -7076.651297 1 0.97 60 60 3600
4 -2.756882 -9.145370 -2756.882468 -9145.369990 1 1.06 60 60 3600
5 -1.917642 5.565198 -1917.642196 5565.197908 1 4.94 60 60 1800
6 2.010727 -9.495139 2010.727137 -9495.138662 1 1.81 60 60 3600
7 3.360070 9.204061 3360.070375 9204.061287 0 8.41 60 60 3600
8 5.933834 8.179819 5933.834399 8179.818560 0 7.57 60 60 3600
9 -2.871260 2.991824 -2871.259929 2991.823652 1 4.24 60 60 1800
10 0.477937 -5.443084 477.937414 -5443.083795 1 2.25 60 60 1800
11 3.851726 2.841275 3851.726146 2841.274566 0 9.41 60 60 1800
12 6.353577 0.479635 6353.577102 479.634717 1 3.72 60 60 1800
13 1.803305 2.086839 1803.304637 2086.839489 0 8.86 60 60 1800
14 -1.785030 -1.853669 -1785.029887 -1853.669431 1 4.10 60 60 1800
15 8.783761 9.362059 8783.760881 9362.058562 0 7.86 60 60 3600
16 2.770438 7.618972 2770.437745 7618.972221 1 1.12 60 60 2700
17 7.687185 6.577360 7687.185221 6577.360008 1 1.66 60 60 3600
18 -4.385455 -4.442268 -4385.455149 -4442.268198 0 6.88 60 60 1800
19 0.885929 -7.355285 885.929168 -7355.285006 1 3.84 60 60 2700
20 -5.879783 -1.061020 -5879.783376 -1061.019959 1 3.13 60 60 1800
21 -4.196497 2.323839 -4196.496707 2323.838974 1 1.08 60 60 1800
22 5.585738 -7.543657 5585.738243 -7543.657277 1 3.40 60 60 3600
23 9.914461 -4.232639 9914.460789 -4232.638644 1 3.96 60 60 3600
24 8.779183 5.175042 8779.182593 5175.041650 1 0.70 60 60 3600
25 -0.006354 8.458912 -6.353677 8458.911623 1 1.84 60 60 2700
26 5.668754 -2.350006 5668.753942 -2350.005995 1 0.92 60 60 1800
27 8.857730 -7.460594 8857.730484 -7460.594419 1 3.86 60 60 3600
28 0.195693 4.884325 195.692575 4884.325073 1 0.78 60 60 1800
29 8.392222 6.559877 8392.221840 6559.877116 0 5.12 60 60 3600
30 -5.312646 -2.598567 -5312.646134 -2598.566651 1 0.66 60 60 1800
31 -9.948742 9.917590 -9948.742401 9917.589972 1 4.20 60 60 3600
32 -4.721612 -6.779884 -4721.611864 -6779.884068 1 2.32 60 60 2700
33 3.442797 -1.060276 3442.796718 -1060.275620 1 1.48 60 60 1800
34 -8.872269 4.097989 -8872.268874 4097.989016 0 6.65 60 60 3600
35 -4.389910 8.665172 -4389.909567 8665.172041 0 8.16 60 60 3600
36 6.679516 -2.589449 6679.515578 -2589.448688 1 2.57 60 60 2700
37 -9.641388 -7.084909 -9641.387793 -7084.909051 0 5.29 60 60 3600
38 7.410741 7.758850 7410.741003 7758.849575 1 0.97 60 60 3600
39 8.684755 7.854208 8684.754538 7854.208232 1 3.10 60 60 3600
40 -5.165937 4.038200 -5165.936668 4038.200047 1 3.31 60 60 2700
41 -9.296255 1.005663 -9296.255304 1005.663150 1 0.59 60 60 3600
42 -3.913164 5.023629 -3913.163932 5023.628647 1 4.79 60 60 1800
43 5.067565 -6.274447 5067.564653 -6274.447455 0 5.44 60 60 2700
44 9.133178 -8.470319 9133.177786 -8470.319076 1 1.99 60 60 3600
45 -0.504657 -8.330929 -504.657359 -8330.929268 1 4.52 60 60 2700
46 2.007282 2.629615 2007.281635 2629.614687 0 6.86 60 60 1800
47 0.930248 2.988403 930.247773 2988.402643 1 3.07 60 60 1800
48 -8.735227 6.682702 -8735.227364 6682.702363 1 0.55 60 60 3600
49 8.974753 3.368303 8974.752635 3368.302502 1 1.60 60 60 3600
50 9.942771 1.234463 9942.771332 1234.463288 1 2.23 60 60 3600
51 -5.549772 -0.074113 -5549.772370 -74.113323 1 1.65 60 60 1800
52 -4.731949 -9.608028 -4731.949354 -9608.027602 1 2.24 60 60 3600
