# i j vmax_ij_m_per_s road_class free_flow_speed_kmh
0 1 9.722222 suburban 35.0
0 2 8.333333 urban 30.0
0 3 9.722222 suburban 35.0
0 4 9.722222 suburban 35.0
0 5 8.333333 urban 30.0
0 6 8.333333 urban 30.0
0 7 8.333333 urban 30.0
0 8 9.722222 suburban 35.0
0 9 8.333333 urban 30.0
0 10 8.333333 urban 30.0
0 11 9.722222 suburban 35.0
0 12 8.333333 urban 30.0
0 13 8.333333 urban 30.0
0 14 9.722222 suburban 35.0
0 15 8.333333 urban 30.0
0 16 8.333333 urban 30.0
0 17 9.722222 suburban 35.0
0 18 8.333333 urban 30.0
0 19 8.333333 urban 30.0
0 20 9.722222 suburban 35.0
0 21 9.722222 suburban 35.0
0 22 8.333333 urban 30.0
0 23 9.722222 suburban 35.0
0 24 9.722222 suburban 35.0
0 25 9.722222 suburban 35.0
0 26 9.722222 suburban 35.0
0 27 8.333333 urban 30.0
0 28 9.722222 suburban 35.0
0 29 8.333333 urban 30.0
0 30 9.722222 suburban 35.0
0 31 8.333333 urban 30.0
0 32 8.333333 urban 30.0
0 33 8.333333 urban 30.0
0 34 8.333333 urban 30.0
0 35 8.333333 urban 30.0
0 36 9.722222 suburban 35.0
0 37 8.333333 urban 30.0
0 38 8.333333 urban 30.0
0 39 9.722222 suburban 35.0
0 40 9.722222 suburban 35.0
0 41 9.722222 suburban 35.0
0 42 8.333333 urban 30.0
0 43 8.333333 urban 30.0
0 44 8.333333 urban 30.0
0 45 9.722222 suburban 35.0
0 46 8.333333 urban 30.0
0 47 8.333333 urban 30.0
0 48 8.333333 urban 30.0
0 49 9.722222 suburban 35.0
0 50 9.722222 suburban 35.0
1 0 9.722222 suburban 35.0
1 2 9.722222 suburban 35.0
1 3 8.333333 urban 30.0
1 4 8.333333 urban 30.0
1 5 9.722222 suburban 35.0
1 6 9.722222 suburban 35.0
1 7 11.111111 arterial 40.0
1 8 8.333333 urban 30.0
1 9 11.111111 arterial 40.0
1 10 9.722222 suburban 35.0
1 11 11.111111 arterial 40.0
1 12 11.111111 arterial 40.0
1 13 11.111111 arterial 40.0
1 14 9.722222 suburban 35.0
1 15 11.111111 arterial 40.0
1 16 11.111111 arterial 40.0
1 17 9.722222 suburban 35.0
1 18 9.722222 suburban 35.0
1 19 11.111111 arterial 40.0
1 20 11.111111 arterial 40.0
1 21 9.722222 suburban 35.0
1 22 8.333333 urban 30.0
1 23 8.333333 urban 30.0
1 24 9.722222 suburban 35.0
1 25 11.111111 arterial 40.0
1 26 11.111111 arterial 40.0
1 27 11.111111 arterial 40.0
1 28 11.111111 arterial 40.0
1 29 9.722222 suburban 35.0
1 30 11.111111 arterial 40.0
1 31 9.722222 suburban 35.0
1 32 9.722222 suburban 35.0
1 33 9.722222 suburban 35.0
1 34 9.722222 suburban 35.0
1 35 9.722222 suburban 35.0
1 36 11.111111 arterial 40.0
1 37 11.111111 arterial 40.0
1 38 9.722222 suburban 35.0
1 39 9.722222 suburban 35.0
1 40 11.111111 arterial 40.0
1 41 9.722222 suburban 35.0
1 42 8.333333 urban 30.0
1 43 11.111111 arterial 40.0
1 44 11.111111 arterial 40.0
1 45 11.111111 arterial 40.0
1 46 11.111111 arterial 40.0
1 47 11.111111 arterial 40.0
1 48 9.722222 suburban 35.0
1 49 11.111111 arterial 40.0
1 50 9.722222 suburban 35.0
2 0 8.333333 urban 30.0
2 1 9.722222 suburban 35.0
2 3 9.722222 suburban 35.0
2 4 9.722222 suburban 35.0
2 5 8.333333 urban 30.0
2 6 8.333333 urban 30.0
2 7 8.333333 urban 30.0
2 8 9.722222 suburban 35.0
2 9 8.333333 urban 30.0
2 10 8.333333 urban 30.0
2 11 8.333333 urban 30.0
2 12 8.333333 urban 30.0
2 13 8.333333 urban 30.0
2 14 8.333333 urban 30.0
2 15 9.722222 suburban 35.0
2 16 8.333333 urban 30.0
2 17 9.722222 suburban 35.0
2 18 8.333333 urban 30.0
2 19 9.722222 suburban 35.0
2 20 9.722222 suburban 35.0
2 21 9.722222 suburban 35.0
2 22 8.333333 urban 30.0
2 23 9.722222 suburban 35.0
2 24 11.111111 arterial 40.0
2 25 8.333333 urban 30.0
2 26 8.333333 urban 30.0
2 27 8.333333 urban 30.0
2 28 9.722222 suburban 35.0
2 29 9.722222 suburban 35.0
2 30 8.333333 urban 30.0
2 31 9.722222 suburban 35.0
2 32 8.333333 urban 30.0
2 33 9.722222 suburban 35.0
2 34 9.722222 suburban 35.0
