id x_km y_km x_m y_m dronable demand_kg drone_service_sec truck_service_sec deadline_sec
1 -0.183181 -7.589456 -183.180754 -7589.455806 1 0.70 60 60 2700
2 8.324692 5.134950 8324.692423 5134.949954 1 3.15 60 60 3600
3 2.699032 4.754794 2699.032063 4754.793554 1 0.73 60 60 1800
4 -2.667373 -6.611359 -2667.373026 -6611.359245 0 8.99 60 60 2700
5 6.760127 3.014693 6760.127287 3014.693057 1 1.61 60 60 2700
6 3.130523 9.508996 3130.523242 9508.996000 1 4.60 60 60 3600
7 1.244669 2.225303 1244.668681 2225.302812 0 9.96 60 60 1800
8 -9.954647 -3.749228 -9954.647280 -3749.228269 1 1.74 60 60 3600
9 -4.371402 -8.746353 -4371.402255 -8746.352807 0 5.60 60 60 3600
10 -1.466103 2.362628 -1466.102646 2362.627953 0 6.52 60 60 1800
11 -2.657860 3.449444 -2657.860350 3449.444492 1 3.90 60 60 1800
12 4.677594 -7.579930 4677.594305 -7579.930229 0 9.11 60 60 2700
13 -8.401123 -8.023564 -8401.123297 -8023.563943 1 0.86 60 60 3600
14 5.289814 5.568775 5289.813619 5568.775372 1 1.13 60 60 2700
15 -9.095666 -3.421042 -9095.665947 -3421.042245 1 4.46 60 60 3600
16 -5.658838 6.217825 -5658.838222 6217.824964 0 6.03 60 60 2700
17 1.418630 -2.067886 1418.629656 -2067.885674 1 4.79 60 60 1800
18 6.702350 7.856216 6702.350143 7856.216207 1 2.35 60 60 3600
19 -8.990092 2.820302 -8990.091534 2820.302003 1 3.78 60 60 3600
20 9.663081 -4.059096 9663.080545 -4059.096407 1 0.93 60 60 3600
21 -3.836428 8.857716 -3836.428056 8857.716369 0 5.40 60 60 3600
22 -6.708839 0.273971 -6708.838713 273.970814 1 1.75 60 60 1800
23 0.138936 1.377494 138.935674 1377.493539 1 0.53 60 60 1800
24 -3.207518 -7.190865 -3207.518247 -7190.865074 0 6.69 60 60 2700
25 -1.245152 7.084667 -1245.151907 7084.666998 0 5.94 60 60 2700
26 2.463331 -0.459394 2463.330643 -459.394168 1 4.74 60 60 1800
27 7.416232 5.041934 7416.232266 5041.934062 1 0.55 60 60 2700
28 -0.056831 4.788626 -56.831364 4788.626497 1 0.59 60 60 1800
29 4.770289 3.936611 4770.289347 3936.611016 1 4.50 60 60 1800
30 9.052463 -3.292996 9052.462879 -3292.995898 1 2.63 60 60 3600
31 3.254597 -8.869036 3254.597258 -8869.035919 0 9.10 60 60 3600
32 5.838768 7.916924 5838.768205 7916.924476 1 4.35 60 60 3600
33 -1.844481 7.834509 -1844.481198 7834.509320 1 4.54 60 60 2700
34 7.617051 -1.685419 7617.050745 -1685.419358 0 6.76 60 60 2700
35 3.145124 -8.333939 3145.124370 -8333.938529 1 0.94 60 60 2700
36 -4.766193 5.930362 -4766.193019 5930.361504 1 1.20 60 60 2700
37 6.182899 6.639149 6182.899144 6639.148749 1 1.05 60 60 2700
38 -5.480426 -0.353277 -5480.426160 -353.277494 1 2.24 60 60 1800
39 5.233256 -4.826521 5233.255554 -4826.520641 0 5.33 60 60 2700
40 5.746750 -5.710524 5746.749948 -5710.523994 1 1.79 60 60 2700
41 -6.864546 9.288761 -6864.546306 9288.760839 1 4.48 60 60 3600
42 9.209485 -7.877714 9209.484741 -7877.714220 0 7.84 60 60 3600
43 3.924387 -8.536768 3924.387368 -8536.767581 1 0.57 60 60 2700
44 -8.566638 -8.544648 -8566.637905 -8544.647993 1 2.89 60 60 3600
45 5.848163 -9.396897 5848.162825 -9396.897260 1 1.52 60 60 3600
46 6.528099 -3.090029 6528.099184 -3090.029328 1 4.78 60 60 2700
47 -6.066015 -0.928162 -6066.015065 -928.162037 1 4.87 60 60 1800
48 6.034111 -4.235993 6034.111374 -4235.992657 1 4.02 60 60 2700
49 -6.530218 7.592438 -6530.217821 7592.437617 1 1.87 60 60 3600
50 3.158277 2.111657 3158.276631 2111.657392 1 4.70 60 60 1800
51 -1.826863 -4.416410 -1826.863386 -4416.410464 1 3.97 60 60 1800
52 8.766160 1.933084 8766.159964 1933.083650 1 2.06 60 60 2700
53 -1.609141 9.656356 -1609.140986 9656.356066 1 3.02 60 60 3600
54 9.434413 1.023230 9434.413009 1023.229951 1 4.10 60 60 3600
55 -4.337382 3.479859 -4337.382246 3479.858863 0 6.07 60 60 1800
56 7.721252 4.544058 7721.251636 4544.057946 1 1.43 60 60 2700
57 6.779071 -5.976627 6779.070561 -5976.626565 0 8.90 60 60 2700
58 9.620373 -2.587695 9620.372574 -2587.695011 1 1.83 60 60 3600
59 -8.319612 6.455074 -8319.611746 6455.073609 1 2.07 60 60 3600
60 -4.829189 -2.768748 -4829.188895 -2768.748353 1 3.37 60 60 1800
61 3.131152 -7.450977 3131.152268 -7450.976516 1 2.13 60 60 2700
62 0.638770 -2.035766 638.769720 -2035.765701 1 2.54 60 60 1800
63 -2.498373 -5.367778 -2498.372997 -5367.777761 1 1.26 60 60 1800
64 3.292523 3.928676 3292.523449 3928.675857 0 9.19 60 60 1800
65 -9.342545 -7.133000 -9342.545449 -7132.999888 1 2.96 60 60 3600
66 1.697433 -6.987854 1697.432807 -6987.853603 1 2.34 60 60 2700
