# i j vmax_ij_m_per_s road_class free_flow_speed_kmh
0 1 8.333333 urban 30.0
0 2 8.333333 urban 30.0
0 3 8.333333 urban 30.0
0 4 9.722222 suburban 35.0
0 5 9.722222 suburban 35.0
0 6 8.333333 urban 30.0
0 7 8.333333 urban 30.0
0 8 9.722222 suburban 35.0
0 9 8.333333 urban 30.0
0 10 9.722222 suburban 35.0
0 11 8.333333 urban 30.0
0 12 9.722222 suburban 35.0
0 13 9.722222 suburban 35.0
0 14 9.722222 suburban 35.0
0 15 9.722222 suburban 35.0
0 16 9.722222 suburban 35.0
0 17 9.722222 suburban 35.0
0 18 8.333333 urban 30.0
0 19 8.333333 urban 30.0
0 20 9.722222 suburban 35.0
0 21 8.333333 urban 30.0
0 22 9.722222 suburban 35.0
0 23 9.722222 suburban 35.0
0 24 9.722222 suburban 35.0
0 25 9.722222 suburban 35.0
0 26 8.333333 urban 30.0
0 27 9.722222 suburban 35.0
0 28 8.333333 urban 30.0
0 29 9.722222 suburban 35.0
0 30 8.333333 urban 30.0
0 31 8.333333 urban 30.0
0 32 8.333333 urban 30.0
0 33 9.722222 suburban 35.0
0 34 8.333333 urban 30.0
0 35 9.722222 suburban 35.0
0 36 9.722222 suburban 35.0
0 37 8.333333 urban 30.0
0 38 9.722222 suburban 35.0
0 39 8.333333 urban 30.0
0 40 9.722222 suburban 35.0
0 41 8.333333 urban 30.0
0 42 9.722222 suburban 35.0
0 43 9.722222 suburban 35.0
0 44 9.722222 suburban 35.0
0 45 9.722222 suburban 35.0
0 46 9.722222 suburban 35.0
0 47 8.333333 urban 30.0
0 48 9.722222 suburban 35.0
0 49 9.722222 suburban 35.0
0 50 8.333333 urban 30.0
0 51 8.333333 urban 30.0
0 52 8.333333 urban 30.0
0 53 8.333333 urban 30.0
0 54 8.333333 urban 30.0
0 55 8.333333 urban 30.0
0 56 9.722222 suburban 35.0
0 57 9.722222 suburban 35.0
0 58 8.333333 urban 30.0
0 59 9.722222 suburban 35.0
0 60 9.722222 suburban 35.0
0 61 9.722222 suburban 35.0
0 62 8.333333 urban 30.0
0 63 9.722222 suburban 35.0
0 64 8.333333 urban 30.0
0 65 9.722222 suburban 35.0
0 66 8.333333 urban 30.0
0 67 8.333333 urban 30.0
0 68 8.333333 urban 30.0
0 69 9.722222 suburban 35.0
0 70 9.722222 suburban 35.0
0 71 9.722222 suburban 35.0
0 72 8.333333 urban 30.0
0 73 9.722222 suburban 35.0
0 74 8.333333 urban 30.0
0 75 9.722222 suburban 35.0
0 76 8.333333 urban 30.0
0 77 8.333333 urban 30.0
0 78 9.722222 suburban 35.0
0 79 9.722222 suburban 35.0
0 80 9.722222 suburban 35.0
0 81 8.333333 urban 30.0
0 82 9.722222 suburban 35.0
0 83 9.722222 suburban 35.0
0 84 8.333333 urban 30.0
0 85 9.722222 suburban 35.0
0 86 9.722222 suburban 35.0
0 87 8.333333 urban 30.0
0 88 8.333333 urban 30.0
0 89 9.722222 suburban 35.0
0 90 9.722222 suburban 35.0
0 91 9.722222 suburban 35.0
0 92 8.333333 urban 30.0
0 93 9.722222 suburban 35.0
0 94 8.333333 urban 30.0
0 95 8.333333 urban 30.0
0 96 8.333333 urban 30.0
0 97 8.333333 urban 30.0
0 98 8.333333 urban 30.0
0 99 9.722222 suburban 35.0
0 100 9.722222 suburban 35.0
0 101 8.333333 urban 30.0
0 102 9.722222 suburban 35.0
0 103 9.722222 suburban 35.0
0 104 8.333333 urban 30.0
0 105 9.722222 suburban 35.0
0 106 9.722222 suburban 35.0
0 107 9.722222 suburban 35.0
0 108 8.333333 urban 30.0
0 109 8.333333 urban 30.0
0 110 9.722222 suburban 35.0
0 111 9.722222 suburban 35.0
0 112 9.722222 suburban 35.0
0 113 9.722222 suburban 35.0
0 114 9.722222 suburban 35.0
0 115 9.722222 suburban 35.0
0 116 8.333333 urban 30.0
0 117 9.722222 suburban 35.0
0 118 8.333333 urban 30.0
0 119 8.333333 urban 30.0
0 120 8.333333 urban 30.0
0 121 8.333333 urban 30.0
0 122 9.722222 suburban 35.0
0 123 8.333333 urban 30.0
0 124 9.722222 suburban 35.0
0 125 9.722222 suburban 35.0
0 126 9.722222 suburban 35.0
0 127 8.333333 urban 30.0
0 128 9.722222 suburban 35.0
0 129 9.722222 suburban 35.0
0 130 9.722222 suburban 35.0
0 131 8.333333 urban 30.0
0 132 9.722222 suburban 35.0
0 133 9.722222 suburban 35.0
0 134 9.722222 suburban 35.0
0 135 8.333333 urban 30.0
0 136 8.333333 urban 30.0
0 137 8.333333 urban 30.0
0 138 9.722222 suburban 35.0
0 139 8.333333 urban 30.0
0 140 9.722222 suburban 35.0
0 141 8.333333 urban 30.0
0 142 8.333333 urban 30.0
0 143 8.333333 urban 30.0
0 144 8.333333 urban 30.0
0 145 9.722222 suburban 35.0
0 146 9.722222 suburban 35.0
0 147 9.722222 suburban 35.0
0 148 8.333333 urban 30.0
0 149 8.333333 urban 30.0
0 150 8.333333 urban 30.0
0 151 8.333333 urban 30.0
0 152 8.333333 urban 30.0
0 153 9.722222 suburban 35.0
0 154 9.722222 suburban 35.0
0 155 8.333333 urban 30.0
0 156 9.722222 suburban 35.0
0 157 8.333333 urban 30.0
0 158 8.333333 urban 30.0
0 159 8.333333 urban 30.0
0 160 9.722222 suburban 35.0
0 161 8.333333 urban 30.0
0 162 8.333333 urban 30.0
0 163 8.333333 urban 30.0
0 164 8.333333 urban 30.0
0 165 8.333333 urban 30.0
0 166 9.722222 suburban 35.0
0 167 8.333333 urban 30.0
0 168 9.722222 suburban 35.0
0 169 9.722222 suburban 35.0
0 170 8.333333 urban 30.0
0 171 9.722222 suburban 35.0
0 172 9.722222 suburban 35.0
0 173 9.722222 suburban 35.0
0 174 8.333333 urban 30.0
0 175 9.722222 suburban 35.0
0 176 8.333333 urban 30.0
0 177 8.333333 urban 30.0
0 178 9.722222 suburban 35.0
0 179 8.333333 urban 30.0
0 180 9.722222 suburban 35.0
0 181 8.333333 urban 30.0
0 182 9.722222 suburban 35.0
0 183 8.333333 urban 30.0
0 184 8.333333 urban 30.0
0 185 9.722222 suburban 35.0
0 186 9.722222 suburban 35.0
0 187 8.333333 urban 30.0
0 188 8.333333 urban 30.0
0 189 9.722222 suburban 35.0
0 190 8.333333 urban 30.0
0 191 8.333333 urban 30.0
0 192 8.333333 urban 30.0
0 193 8.333333 urban 30.0
0 194 9.722222 suburban 35.0
0 195 9.722222 suburban 35.0
0 196 9.722222 suburban 35.0
0 197 9.722222 suburban 35.0
0 198 9.722222 suburban 35.0
0 199 8.333333 urban 30.0
0 200 9.722222 suburban 35.0
0 201 8.333333 urban 30.0
0 202 8.333333 urban 30.0
0 203 9.722222 suburban 35.0
0 204 9.722222 suburban 35.0
0 205 9.722222 suburban 35.0
0 206 8.333333 urban 30.0
0 207 8.333333 urban 30.0
0 208 9.722222 suburban 35.0
0 209 9.722222 suburban 35.0
0 210 9.722222 suburban 35.0
0 211 8.333333 urban 30.0
0 212 9.722222 suburban 35.0
0 213 8.333333 urban 30.0
0 214 8.333333 urban 30.0
0 215 9.722222 suburban 35.0
0 216 8.333333 urban 30.0
0 217 8.333333 urban 30.0
0 218 8.333333 urban 30.0
0 219 9.722222 suburban 35.0
0 220 9.722222 suburban 35.0
0 221 8.333333 urban 30.0
0 222 9.722222 suburban 35.0
0 223 9.722222 suburban 35.0
0 224 8.333333 urban 30.0
0 225 9.722222 suburban 35.0
0 226 8.333333 urban 30.0
0 227 8.333333 urban 30.0
0 228 9.722222 suburban 35.0
0 229 8.333333 urban 30.0
0 230 8.333333 urban 30.0
0 231 8.333333 urban 30.0
0 232 9.722222 suburban 35.0
0 233 9.722222 suburban 35.0
0 234 9.722222 suburban 35.0
0 235 8.333333 urban 30.0
0 236 8.333333 urban 30.0
0 237 8.333333 urban 30.0
0 238 9.722222 suburban 35.0
0 239 9.722222 suburban 35.0
0 240 9.722222 suburban 35.0
0 241 8.333333 urban 30.0
0 242 9.722222 suburban 35.0
0 243 8.333333 urban 30.0
0 244 8.333333 urban 30.0
0 245 9.722222 suburban 35.0
0 246 9.722222 suburban 35.0
0 247 8.333333 urban 30.0
0 248 8.333333 urban 30.0
0 249 8.333333 urban 30.0
0 250 8.333333 urban 30.0
0 251 9.722222 suburban 35.0
0 252 9.722222 suburban 35.0
0 253 9.722222 suburban 35.0
0 254 8.333333 urban 30.0
0 255 8.333333 urban 30.0
0 256 8.333333 urban 30.0
0 257 8.333333 urban 30.0
0 258 8.333333 urban 30.0
0 259 8.333333 urban 30.0
0 260 8.333333 urban 30.0
0 261 8.333333 urban 30.0
0 262 9.722222 suburban 35.0
0 263 8.333333 urban 30.0
0 264 8.333333 urban 30.0
0 265 8.333333 urban 30.0
0 266 8.333333 urban 30.0
0 267 8.333333 urban 30.0
0 268 8.333333 urban 30.0
0 269 9.722222 suburban 35.0
0 270 9.722222 suburban 35.0
0 271 9.722222 suburban 35.0
0 272 9.722222 suburban 35.0
0 273 9.722222 suburban 35.0
0 274 9.722222 suburban 35.0
0 275 9.722222 suburban 35.0
0 276 8.333333 urban 30.0
0 277 9.722222 suburban 35.0
0 278 8.333333 urban 30.0
0 279 9.722222 suburban 35.0
0 280 8.333333 urban 30.0
0 281 8.333333 urban 30.0
0 282 9.722222 suburban 35.0
0 283 8.333333 urban 30.0
0 284 9.722222 suburban 35.0
0 285 8.333333 urban 30.0
0 286 9.722222 suburban 35.0
0 287 9.722222 suburban 35.0
0 288 8.333333 urban 30.0
0 289 9.722222 suburban 35.0
0 290 9.722222 suburban 35.0
0 291 8.333333 urban 30.0
0 292 9.722222 suburban 35.0
0 293 9.722222 suburban 35.0
0 294 8.333333 urban 30.0
0 295 8.333333 urban 30.0
0 296 9.722222 suburban 35.0
0 297 8.333333 urban 30.0
0 298 8.333333 urban 30.0
0 299 9.722222 suburban 35.0
0 300 9.722222 suburban 35.0
0 301 8.333333 urban 30.0
0 302 9.722222 suburban 35.0
0 303 9.722222 suburban 35.0
0 304 8.333333 urban 30.0
0 305 9.722222 suburban 35.0
0 306 9.722222 suburban 35.0
0 307 8.333333 urban 30.0
0 308 9.722222 suburban 35.0
0 309 8.333333 urban 30.0
0 310 9.722222 suburban 35.0
0 311 9.722222 suburban 35.0
0 312 8.333333 urban 30.0
0 313 8.333333 urban 30.0
0 314 9.722222 suburban 35.0
0 315 8.333333 urban 30.0
0 316 8.333333 urban 30.0
0 317 9.722222 suburban 35.0
0 318 9.722222 suburban 35.0
0 319 8.333333 urban 30.0
0 320 8.333333 urban 30.0
0 321 8.333333 urban 30.0
0 322 9.722222 suburban 35.0
0 323 9.722222 suburban 35.0
0 324 9.722222 suburban 35.0
0 325 8.333333 urban 30.0
0 326 8.333333 urban 30.0
0 327 8.333333 urban 30.0
0 328 8.333333 urban 30.0
0 329 9.722222 suburban 35.0
0 330 9.722222 suburban 35.0
0 331 9.722222 suburban 35.0
0 332 8.333333 urban 30.0
0 333 9.722222 suburban 35.0
0 334 9.722222 suburban 35.0
0 335 8.333333 urban 30.0
0 336 8.333333 urban 30.0
0 337 8.333333 urban 30.0
0 338 9.722222 suburban 35.0
0 339 9.722222 suburban 35.0
0 340 8.333333 urban 30.0
0 341 8.333333 urban 30.0
0 342 8.333333 urban 30.0
0 343 8.333333 urban 30.0
0 344 9.722222 suburban 35.0
0 345 8.333333 urban 30.0
0 346 8.333333 urban 30.0
0 347 9.722222 suburban 35.0
0 348 9.722222 suburban 35.0
0 349 8.333333 urban 30.0
0 350 8.333333 urban 30.0
0 351 9.722222 suburban 35.0
