id x_km y_km x_m y_m dronable demand_kg drone_service_sec truck_service_sec deadline_sec
1 -6.958169 -1.525802 -6958.168530 -1525.802346 1 3.12 60 60 2700
2 -0.508233 -2.923641 -508.233161 -2923.640844 1 2.42 60 60 1800
3 3.049305 -6.300254 3049.304878 -6300.254005 0 9.91 60 60 2700
4 -7.122689 -4.043932 -7122.689440 -4043.931959 0 5.17 60 60 2700
5 8.455805 -6.763004 8455.804511 -6763.004437 1 4.30 60 60 3600
6 5.286083 -0.951967 5286.083437 -951.967352 1 0.64 60 60 1800
7 2.698636 -5.388239 2698.635542 -5388.238714 1 3.32 60 60 1800
8 -3.137268 -8.294902 -3137.268146 -8294.901927 1 3.52 60 60 2700
9 3.826160 -6.924074 3826.159878 -6924.073963 1 4.37 60 60 2700
10 -9.049180 1.064432 -9049.179698 1064.432063 1 2.97 60 60 2700
11 -4.620325 -6.227641 -4620.325362 -6227.640658 1 1.37 60 60 2700
12 8.489397 -8.784759 8489.397003 -8784.758781 1 4.17 60 60 3600
13 7.652692 -9.507913 7652.692224 -9507.913066 1 3.55 60 60 3600
14 -7.207605 -9.057594 -7207.605170 -9057.594162 0 7.23 60 60 3600
15 8.580904 -7.993432 8580.904031 -7993.432004 1 0.64 60 60 3600
16 9.210034 0.403013 9210.033863 403.013460 1 3.51 60 60 2700
17 -1.008281 -8.730198 -1008.281423 -8730.198454 1 4.06 60 60 2700
18 -3.019461 -6.432632 -3019.461410 -6432.632218 0 5.73 60 60 2700
19 -0.848608 -5.432176 -848.608321 -5432.176290 1 0.80 60 60 1800
20 -9.864908 8.239459 -9864.908413 8239.458787 1 1.56 60 60 3600
21 -2.657207 -2.352540 -2657.207374 -2352.539535 1 1.08 60 60 1800
22 9.433404 -4.289120 9433.404462 -4289.120403 0 5.40 60 60 3600
23 9.123907 4.632143 9123.906819 4632.142788 1 2.15 60 60 3600
24 7.211339 8.854549 7211.339091 8854.549226 1 1.40 60 60 3600
25 -0.702800 8.802651 -702.800118 8802.651366 1 4.66 60 60 2700
26 -3.398229 5.814094 -3398.229295 5814.094183 1 0.90 60 60 2700
27 6.809925 6.269726 6809.925448 6269.725673 0 6.44 60 60 2700
28 -4.435644 3.031000 -4435.643891 3030.999957 1 2.27 60 60 1800
29 -6.253989 8.102489 -6253.988852 8102.488907 1 2.71 60 60 3600
30 -4.135316 -4.344182 -4135.315968 -4344.181904 0 6.21 60 60 1800
31 -2.446643 5.187651 -2446.642763 5187.651270 0 7.07 60 60 1800
32 5.210466 -0.205298 5210.465513 -205.297956 1 4.79 60 60 1800
33 -6.341785 -9.949064 -6341.784575 -9949.064486 1 0.51 60 60 3600
34 2.140868 -4.483288 2140.867531 -4483.287526 0 9.35 60 60 1800
35 6.473472 7.195908 6473.471580 7195.908290 1 2.09 60 60 3600
36 8.193649 0.289392 8193.648715 289.391661 1 3.15 60 60 2700
