id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_10mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,
1,WinMart+,C,Siêu thị,Hoàng Mai,20.9670017,105.8704372,2641.027337,-1111.760235,1,1.37,60,60,3600,5370.100,4921.000,true,3.717,1000.1,959,true
2,Eab - ATM,,amenity:atm,,21.0039796,105.8180890,-2797.187979,3003.369072,1,0.79,60,60,3600,5916.600,5367.200,true,,osm,node:724829286,true
3,MB CRM,,amenity:atm,,20.9978576,105.8680277,2393.549315,2321.868032,1,1.65,60,60,1800,4812.500,6471.200,true,,osm,node:724829200,true
4,WinMart+,C,Siêu thị,Thanh Xuân,21.0029768,105.8344506,-1095.295622,2888.488370,1,1.94,60,60,3600,4725.800,4309.300,true,3.103,1000.1,950,true
5,Honda,,shop:motorcycle,Thanh Xuân,20.9943430,105.8077915,-3867.532567,1930.622760,1,0.72,60,60,1800,8287.400,6714.600,true,,osm,node:4392924147,true
6,Cửa Hàng Tiện Ích Bảo Long,,shop:supermarket,Hoàng Mai,20.9648945,105.8320905,-1341.841560,-1347.584260,1,1.90,60,60,2700,2809.000,3989.100,true,,osm,node:3799178113,true
7,327 Bạch Mai,,public_transport:platform,,21.0010604,105.8507015,592.626334,2678.403728,1,0.73,60,60,3600,3276.800,3880.800,true,,osm,node:446044160,true
8,Trường Mầm non Sao Mai,C,Trường học,Hoàng Mai,20.9847216,105.8267185,-1898.083958,858.602746,1,0.53,60,60,1800,3386.400,3766.900,true,4.131,1000.1,919,true
9,Trước số 277 Nguyễn Trãi - Bách hóa giày Thượng Đình,,public_transport:platform,,20.9931993,105.8060899,-4044.400579,1803.306076,1,1.78,60,60,2700,8069.700,6932.400,true,,osm,node:444394790,true
10,Cửa Hàng Mắt Kính Nam Hải,,shop:optician,,21.0016576,105.8449682,-3.305361,2744.884032,1,1.09,60,60,2700,4114.800,3979.100,true,,osm,node:3890689189,true
11,BIDV,,amenity:atm,Hai Bà Trưng,21.0094511,105.8574963,1298.892651,3612.456452,1,1.30,60,60,1800,4784.700,5703.500,true,,osm,node:1498025730,true
12,Vietcombank,,amenity:atm,Hai Bà Trưng,21.0028575,105.8663524,2219.414983,2878.456900,1,0.72,60,60,1800,5260.600,5854.700,true,,osm,node:1491047989,true
13,Nha khoa Gia Phuong,,amenity:doctors,,20.9716686,105.8469294,200.546040,-593.491448,1,1.16,60,60,3600,739.300,739.300,true,,osm,node:4282612490,true
14,Trường Tiểu học Tam Hiệp,C,Trường học,Hoàng Mai,20.9501409,105.8308462,-1469.523875,-2986.595654,1,1.51,60,60,3600,4611.100,6556.400,true,9.465,1000.1,945,true
15,Cửa Hàng Nội Thất Lovehome Shop,,shop:furniture,Hai Bà Trưng,21.0020850,105.8496300,481.252289,2792.462200,1,0.69,60,60,2700,3525.000,4129.000,true,,osm,node:4373141128,true
16,Gần UBND phường Trần Phú,,public_transport:platform,,20.9710740,105.8846442,4120.704532,-659.682320,1,0.87,60,60,2700,7198.600,6559.800,true,,osm,node:738814891,true
17,WinMart+,C,Siêu thị,Hoàng Mai,20.9561594,105.8480862,320.425934,-2317.368988,1,0.96,60,60,2700,2828.200,3404.700,true,5.742,1000.1,911,true
18,WinMart+,C,Siêu thị,Hoàng Mai,20.9770184,105.8925520,4937.105182,2.045987,1,0.22,60,60,3600,6265.300,7853.900,true,4.293,1000.1,973,true
19,AEON MaxValu Linh Đàm,C,Siêu thị,Hoàng Mai,20.9640845,105.8230327,-2280.763599,-1436.138075,1,2.00,60,60,2700,4115.600,3900.100,true,14.313,1000.1,935,true
20,BIDV,,amenity:atm,Hai Bà Trưng,21.0031624,105.8633988,1912.411363,2912.398368,1,1.90,60,60,2700,4981.400,5578.500,true,,osm,node:1498025717,true
21,Trường Mầm Non Đại Từ,C,Trường học,Hoàng Mai,20.9705220,105.8312839,-1424.079500,-720.320735,1,1.08,60,60,1800,2790.300,2649.100,true,15.185,1000.1,909,true
22,Công Ty CP Đầu Tư và Công Nghệ Trường Minh Phát,,office:company,,20.9852280,105.8528714,818.170468,915.940960,1,0.57,60,60,2700,2386.100,2999.700,true,,osm,node:2562555366,true
23,Cửa Hàng Đồ Uống Luogo,,shop:beverages,,21.0057536,105.8233332,-2252.094404,3200.850752,1,0.90,60,60,3600,5975.200,6171.600,true,,osm,node:4228029094,true
24,WinMart+,C,Siêu thị,Hoàng Mai,20.9824994,105.8819225,3833.493146,611.505380,1,0.58,60,60,2700,5105.900,5739.800,true,8.204,1000.1,954,true
25,WinMart+ [W],W,Siêu thị,Hoàng Mai,20.9764416,105.7773799,-7020.683590,-62.091247,1,0.93,60,60,2700,10195.400,10270.500,true,4.396,1000.1,726,true
26,WinMart+,C,Siêu thị,Thanh Xuân,21.0114072,105.8087605,-3762.580401,3825.906080,1,1.92,60,60,1800,7210.900,6740.200,true,9.48,1000.1,984,true
27,Dongabank - ATM,,amenity:atm,,21.0049049,105.8308536,-1470.407641,3106.373468,1,1.65,60,60,2700,5420.000,5007.700,true,,osm,node:724829822,true
28,BIDV,,amenity:atm,Hai Bà Trưng,20.9991814,105.8615834,1723.714731,2469.233448,1,1.05,60,60,2700,5246.200,4905.700,true,,osm,node:1498025871,true
29,PG Bank,,amenity:bank,,21.0056466,105.8234509,-2239.860409,3188.939512,1,0.89,60,60,3600,5970.100,6166.600,true,,osm,node:2182514715,true
30,Highlands Coffee,C,Cửa hàng đồ uống,Hoàng Mai,20.9651775,105.8329648,-1249.559394,-1314.602020,1,1.30,60,60,2700,2722.700,3902.700,true,14.4,1000.1,908,true
31,Starbucks,C,Cửa hàng đồ uống,Thanh Xuân,20.9871934,105.7860587,-6119.603752,1133.454365,1,0.59,60,60,2700,10845.800,11683.200,true,13.573,1000.2,71,true
32,Trường Mầm non A Tứ Hiệp,C,Trường học,Hoàng Mai,20.9490044,105.8491344,429.255713,-3112.968688,1,0.52,60,60,1800,3908.300,4818.100,true,24.204,1000.1,931,true
33,BIDV,,amenity:atm,Đống Đa,21.0104205,105.8247768,-2102.043474,3720.370060,1,1.99,60,60,2700,6718.800,5764.400,true,,osm,node:1498025735,true
34,Quan an Nam Nhu 1 [W],W,Cửa hàng ăn uống,Hoàng Mai,20.9685702,105.7775545,-7002.555676,-937.350993,1,1.88,60,60,3600,9964.200,9903.100,true,27.478,1000.1,725,true
35,Vietcombank,,amenity:atm,Hai Bà Trưng,21.0096294,105.8549847,1037.831475,3632.304808,1,1.30,60,60,3600,4590.100,5507.300,true,,osm,node:1491047929,true
36,BIDV,,amenity:atm,,21.0009536,105.8452517,26.162246,2666.514752,1,0.95,60,60,3600,3635.400,3862.800,true,,osm,node:724829518,true
37,WinMart+,C,Siêu thị,Hoàng Mai,20.9678793,105.8450244,2.533340,-1014.175567,1,1.82,60,60,2700,1101.200,1101.200,true,1.768,1000.1,897,true
38,BIDV,,amenity:atm,Đống Đa,21.0031568,105.8410062,-415.124274,2911.774976,1,1.56,60,60,2700,4128.900,3514.500,true,,osm,node:1498025716,true
39,Đình Khương Đình,,amenity:place_of_worship,,20.9922894,105.8164724,-2965.220905,1702.016008,1,0.88,60,60,2700,5756.600,6504.000,true,,osm,node:449628162,true
40,Nhà Hàng A La Folie,,amenity:restaurant,,21.0146587,105.8522123,749.662178,4192.166484,1,1.86,60,60,2700,4854.500,5894.200,true,,osm,node:4125659916,true
41,Sacombank - ATM,,amenity:atm,,20.9985046,105.8503210,553.076334,2393.892072,1,1.10,60,60,1800,2991.100,3595.200,true,,osm,node:724829375,true
42,Đối diện cổng phụ Bệnh viện đa khoa y học cổ truyền,,public_transport:platform,,20.9728461,105.8248002,-2099.611227,-462.412148,1,1.07,60,60,3600,3790.500,3548.400,true,,osm,node:738814333,true
