id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_30mile_square,outside_20mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,,
1,WinMart+ [E],E,Siêu thị,Thanh Xuân,20.9948518,105.9724608,13233.667903,1985.029591,1,1.25,60,60,2700,17815.000,22139.300,True,2.827,reality.1000.1,280,true,false
2,Trường Đại học Công nghệ và Quản lý Hữu Nghị [W],W,Trường học,Hoàng Mai,20.9767463,105.7608077,-8741.298801,-28.210153,1,1.81,60,60,3600,13477.400,13110.300,True,6.469,reality.1000.1,681,true,false
3,Tòa án Nhân dân Huyện Tiên Du,,amenity:courthouse,Huyện Tiên Du,21.1406790,106.0189669,18082.498658,18220.746280,1,0.93,60,60,2700,35280.179,35280.179,true,,openstreetmap_20_30_ring,node:4573262428,true,true
4,WinMart+ [W],W,Siêu thị,Thanh Xuân,20.9786863,105.7343241,-11490.969031,187.508005,1,1.22,60,60,3600,18590.000,18123.600,True,5.201,reality.1000.1,663,true,false
5,WinMart+ [SW],SW,Siêu thị,Thanh Xuân,20.8642210,105.7318911,-11743.576217,-12540.452632,1,0.30,60,60,3600,24850.300,26149.700,True,36.71,reality.1000.1,541,true,false
6,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.1021091,105.6950940,-15564.049658,13911.497197,1,1.05,60,60,1800,25618.300,25134.500,True,85.398,reality.1000.1,878,true,false
7,WinMart+ [SE],SE,Siêu thị,Thanh Xuân,20.8888109,105.9614712,12092.668343,-9806.180505,1,0.35,60,60,2700,28958.700,28039.000,True,27.363,reality.1000.1,371,true,false
8,Cục Tần số vô tuyến điện [SE],SE,Uỷ ban nhân dân,Thanh Xuân,20.8944961,105.9252470,8331.676470,-9174.015108,1,1.58,60,60,3600,24075.300,25679.200,True,13.004,reality.1000.1,407,true,false
9,Không có tên,,tourism:guest_house,,21.0034851,105.6289373,-22458.027836,2948.321332,1,1.90,60,60,1800,31130.020,31130.020,true,,openstreetmap_20_30_ring,node:4153554389,true,true
10,Thiện chiến,,shop:convenience,,20.7958938,105.6714447,-18039.716057,-20160.742184,1,1.73,60,60,3600,37180.837,37180.837,true,,openstreetmap_20_30_ring,node:5101080625,true,true
11,WinMart+ [SE],SE,Siêu thị,Thanh Xuân,20.8951141,105.9201134,7798.678422,-9105.296644,1,0.70,60,60,3600,24515.700,26119.600,True,16.104,reality.1000.1,411,true,false
12,UBND xã Kim Chung- Km 2+200 Cao tốc BTL-NB,,public_transport:platform,,21.1316178,105.7790622,-6853.718610,17212.053496,1,1.90,60,60,3600,25461.776,25461.776,true,,openstreetmap_20_30_ring,node:963363533,true,true
13,WinMart+ [S],S,Siêu thị,Hoàng Mai,20.8537134,105.8562634,1169.426954,-13708.844443,1,0.66,60,60,2700,17236.000,15624.100,True,15.445,reality.1000.1,419,true,false
14,Thế  mĩ,,shop:convenience,,20.8141094,105.6452183,-20765.745220,-18132.981592,1,1.21,60,60,3600,37888.728,37888.728,true,,openstreetmap_20_30_ring,node:5103138223,true,true
15,Trường Mầm non Lĩnh Nam (cơ sở 2) [W],W,Trường học,Hoàng Mai,20.9803687,105.7816386,-6578.522381,374.582349,1,1.84,60,60,1800,10844.100,11833.100,True,8.148,reality.1000.1,741,true,false
16,Đình So,,amenity:place_of_worship,,20.9753255,105.6769350,-17469.042312,-186.405340,1,1.23,60,60,2700,24009.936,24009.936,true,,openstreetmap_20_30_ring,node:4231475589,true,true
17,Co.opmart [NW],NW,Siêu thị,Thanh Xuân,21.0846041,105.6856575,-16543.797998,11965.030006,1,0.98,60,60,3600,23861.500,23365.200,True,56.486,reality.1000.1,883,true,true
18,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.1069720,105.7416300,-10732.431078,14452.227006,1,1.60,60,60,3600,28152.100,27363.300,True,450.665,reality.1000.1,817,true,false
19,siêu thị 24h ninja mark [NE],NE,Siêu thị,Thanh Xuân,21.0849993,105.9369476,9546.495886,12008.974241,1,0.89,60,60,3600,21507.900,23136.400,True,16.275,reality.1000.1,186,true,false
20,Highlands Coffee [SW],SW,Cửa hàng đồ uống,Hoàng Mai,20.8510116,105.7284222,-12103.736130,-14009.270896,1,0.67,60,60,2700,25445.300,26794.300,True,41.603,reality.1000.1,555,true,false
21,Cafe Dinh [NW],NW,Cửa hàng đồ uống,Hoàng Mai,21.0421318,105.7498144,-9882.682515,7242.325723,1,1.63,60,60,3600,16346.400,15550.200,True,27.587,reality.1000.1,856,true,false
22,Quan an Nam Nhu 1 [S],S,Cửa hàng ăn uống,Hoàng Mai,20.8604621,105.8933361,5018.514674,-12958.423242,1,1.13,60,60,3600,15475.400,15419.900,True,60.296,reality.1000.1,484,true,false
23,Cà Phê 3k [NW],NW,Cửa hàng đồ uống,Thanh Xuân,21.0744813,105.7168924,-13300.822169,10839.426003,1,0.25,60,60,1800,22013.400,21529.600,True,153.949,reality.1000.1,813,true,false
24,WinMart+ [E],E,Siêu thị,Thanh Xuân,20.9873985,105.9586546,11800.233735,1156.260445,1,1.84,60,60,1800,18816.400,21614.800,True,63.825,reality.1000.1,269,true,false
25,Tiến Nhung,,shop:convenience,,20.8307201,105.7533031,-9531.175593,-16283.878468,1,0.88,60,60,3600,25931.465,25931.465,true,,openstreetmap_20_30_ring,node:5634047221,true,true
26,Trường mầm non Vườn Hồng [SW],SW,Trường học,Hoàng Mai,20.8687239,105.7394298,-10960.867712,-12039.752997,1,1.97,60,60,2700,22372.500,23656.300,True,22.708,reality.1000.1,540,true,false
27,Trường Mầm non Yên Mỹ [E],E,Trường học,Hoàng Mai,20.9365148,105.9982830,15914.668017,-4501.748844,1,1.59,60,60,1800,25681.000,28636.900,True,60.051,reality.1000.1,334,true,false
28,Coffee Cây,C,Cửa hàng đồ uống,Thanh Xuân,21.0081670,105.8201771,-2577.247397,3465.612279,1,0.35,60,60,2700,6280.000,6423.000,True,4.217,reality.1000.1,974,true,false
29,Đồ Gỗ Tuấn Hường,,shop:yes,Đông Anh,21.1793802,105.8061734,-4035.721407,22528.963864,1,0.68,60,60,1800,31455.532,31455.532,true,,openstreetmap_20_30_ring,node:4007177418,true,true
30,Không có tên,,amenity:fuel,,20.8464964,106.0582345,22164.058566,-14527.660752,1,1.08,60,60,2700,36421.516,36421.516,true,,openstreetmap_20_30_ring,node:6385048419,true,true
31,TK mark [NW],NW,Chợ dân sinh,Thanh Xuân,21.0911770,105.7035209,-14689.123437,12695.903139,1,1.32,60,60,2700,23490.100,23023.900,True,18.501,reality.1000.1,851,true,false
