id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_30mile_square,outside_20mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,,
1,WinMart+,C,Siêu thị,Hoàng Mai,20.9409840,105.8461022,114.436350,-4004.796478,1,0.76,60,60,2700,5084.000,4888.400,True,1.635,reality.1000.1,952,true,false
2,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.0983381,105.8380217,-724.524754,13492.181129,1,0.76,60,60,1800,23696.500,23335.200,True,74.206,reality.1000.1,43,true,false
3,Cửa Hàng Fast Food,,amenity:restaurant,Thành phố Bắc Ninh,21.1765819,106.0631101,22670.839054,22217.457108,1,1.03,60,60,3600,43625.585,43625.585,true,,openstreetmap_20_30_ring,node:6545253557,true,true
4,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nhị),C,Trường học,Hoàng Mai,20.9750164,105.8494000,456.831738,-220.566256,1,1.20,60,60,2700,1550.300,1885.100,True,21.936,reality.1000.1,899,true,false
5,Không có tên [S],S,Trường học,Hoàng Mai,20.8492419,105.8391064,-611.905348,-14206.052558,1,0.64,60,60,2700,18621.300,17001.200,True,0.472,reality.1000.1,442,true,false
6,Trường Cao đẳng Hà Nội [NE],NE,Trường học,Hoàng Mai,21.0500351,105.9483243,10727.686257,8121.132587,1,1.75,60,60,1800,17930.100,19829.900,True,20.44,reality.1000.1,195,true,false
7,Highlands Coffee [SW],SW,Cửa hàng đồ uống,Hoàng Mai,20.8510116,105.7284222,-12103.736130,-14009.270896,1,0.67,60,60,1800,25445.300,26794.300,True,41.603,reality.1000.1,555,true,false
8,Trường Tiểu học Chu Văn An [SW],SW,Trường học,Hoàng Mai,20.8389604,105.7369531,-11218.012068,-15349.303196,1,1.15,60,60,2700,26743.500,28035.400,True,18.966,reality.1000.1,577,true,false
9,BIDV CRM,,amenity:atm,Thạch Thất,21.0170316,105.6131858,-24095.273069,4456.317712,1,1.27,60,60,1800,33677.213,33677.213,true,,openstreetmap_20_30_ring,node:1498025754,true,true
10,Ủy ban nhân dân xã Nghĩa Hương,,office:government,,20.9728109,105.6140828,-24002.036934,-466.330612,1,1.05,60,60,1800,32993.701,32993.701,true,,openstreetmap_20_30_ring,node:6185334966,true,true
11,Liên kết,,shop:electronics,,20.8645457,106.0766717,24080.461308,-12518.412676,1,1.07,60,60,3600,37300.163,37300.163,true,,openstreetmap_20_30_ring,node:4751996622,true,true
12,Chợ Trung Kính [SW],SW,Chợ dân sinh,Thanh Xuân,20.8990600,105.6947543,-15599.319145,-8666.532583,1,0.31,60,60,2700,22704.700,22694.900,True,40.258,reality.1000.1,649,true,false
13,WinMart+ [W],W,Siêu thị,Thanh Xuân,20.9818113,105.7083422,-14188.550061,534.992151,1,1.86,60,60,3600,20335.300,19869.000,True,12.432,reality.1000.1,716,true,false
