id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_30mile_square,outside_20mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,,
1,WinMart+ [N],N,Siêu thị,Hoàng Mai,21.0707607,105.8913176,4808.943114,10425.714159,1,1.40,60,60,1800,15816.900,16362.200,True,71.48,reality.1000.1,67,true,false
2,TK mark [N],N,Chợ dân sinh,Thanh Xuân,21.0911770,105.8193025,-2668.053087,12695.903139,1,1.85,60,60,2700,24491.200,16573.900,True,54.265,reality.1000.1,75,true,false
3,Trường Tiểu học Tam Hiệp [NE],NE,Trường học,Hoàng Mai,21.0521912,105.9578668,11718.440089,8360.879968,1,1.03,60,60,2700,17606.600,19506.400,True,32.595,reality.1000.1,177,true,false
4,Trường Trung học cơ sở Lĩnh Nam [W],W,Trường học,Hoàng Mai,20.9797183,105.7865470,-6068.905812,302.261169,1,1.34,60,60,2700,9959.100,12004.300,True,26.904,reality.1000.1,751,true,false
5,Trung tâm Công nghệ Phần mềm Thủy lợi [SW],SW,Uỷ ban nhân dân,Thanh Xuân,20.8947190,105.7206773,-12907.853431,-9149.229759,1,1.29,60,60,2700,23124.300,23105.200,True,13.323,reality.1000.1,612,true,false
6,Đảng uỷ - HĐND - UBND phường Thanh Xuân [NW],NW,Uỷ ban nhân dân,Thanh Xuân,21.0967880,105.6951639,-15556.792263,13319.817873,1,1.23,60,60,1800,25281.500,24797.700,True,0.111,reality.1000.1,875,true,false
7,WinMart+,C,Siêu thị,Thanh Xuân,21.0029768,105.8344506,-1095.295622,2888.488370,1,1.94,60,60,2700,4725.800,4309.300,True,3.103,reality.1000.1,950,true,false
8,Quan an Nam Nhu 1 [NW],NW,Cửa hàng ăn uống,Hoàng Mai,21.0766783,105.7775545,-7002.555676,11083.721257,1,0.92,60,60,3600,19287.800,16895.300,True,6.916,reality.1000.1,846,true,false
9,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.0761188,105.8525007,778.763140,11021.507695,1,1.87,60,60,3600,19516.000,20215.900,True,4.803,reality.1000.1,1,true,false
10,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.0961035,105.7376578,-11144.846312,13243.704946,1,1.68,60,60,3600,23041.400,22871.400,True,51.363,reality.1000.1,797,true,false
11,Không có tên,,tourism:alpine_hut,,20.9118389,105.6384938,-21464.704403,-7253.733652,1,0.51,60,60,2700,30973.033,30973.033,true,,openstreetmap_20_30_ring,node:5863637585,true,true
12,Không có tên [W],W,Cửa hàng đồ uống,Thanh Xuân,20.9964168,105.7158505,-13408.997848,2159.049652,1,1.04,60,60,2700,19257.300,18791.000,True,12.249,reality.1000.1,724,true,false
13,Không có tên [N],N,Cửa hàng đồ uống,Thanh Xuân,21.1075592,105.8569956,1245.447908,14517.520667,1,1.95,60,60,3600,21141.300,22361.000,True,0.104,reality.1000.1,51,true,false
14,WinMart+ [W],W,Siêu thị,Thanh Xuân,20.9948518,105.7408976,-10808.472797,1985.029591,1,1.51,60,60,3600,15917.800,15451.400,True,18.163,reality.1000.1,693,true,false
15,WinMart+ [SW],SW,Siêu thị,Hoàng Mai,20.8714401,105.7533569,-9514.881054,-11737.725337,1,0.68,60,60,3600,20719.000,22002.900,True,38.166,reality.1000.1,552,true,false
16,Nghĩa hằng,,shop:electronics,,20.9904171,106.0720393,23598.959558,1493.591572,1,0.33,60,60,1800,32324.946,32324.946,true,,openstreetmap_20_30_ring,node:4744781622,true,true
17,Khu công nghệ liên hiệp Phúc Thọ,,public_transport:platform,,21.0440548,105.6433907,-20955.709946,7464.540336,1,0.82,60,60,3600,30410.149,30410.149,true,,openstreetmap_20_30_ring,node:8808913236,true,true
