id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_40mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,
1,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.0804372,105.7318911,-11743.576217,11501.691866,1,1.93,60,60,3600,20684.700,20514.700,True,39.647,reality.1000.1,782,true
2,Siêu thị B11 Kim Liên [NE],NE,Siêu thị,Thanh Xuân,21.1096000,105.9621506,12163.207316,14744.447273,1,1.02,60,60,1800,23716.700,24959.300,True,52.736,reality.1000.1,182,true
3,Trường Tiểu học Hoàng Liệt [SW],SW,Trường học,Hoàng Mai,20.8523928,105.7340794,-11516.375105,-13855.688463,1,1.23,60,60,1800,24918.400,26267.400,True,52.63,reality.1000.1,547,true
4,WinMart+ [NE],NE,Siêu thị,Thanh Xuân,21.0907566,105.9282364,8642.052106,12649.156792,1,1.36,60,60,2700,19376.700,20586.400,True,33.021,reality.1000.1,212,true
5,WinMart+ [E],E,Siêu thị,Hoàng Mai,20.9626526,106.0070992,16830.013464,-1595.358091,1,1.81,60,60,3600,24439.600,26792.700,True,110.79,reality.1000.1,310,true
6,WinMart+ [W],W,Siêu thị,Thanh Xuân,20.9948518,105.7408976,-10808.472797,1985.029591,1,1.51,60,60,2700,15917.800,15451.400,True,18.163,reality.1000.1,693,true
7,Trường Tiểu học Tam Hiệp [N],N,Trường học,Hoàng Mai,21.0521912,105.8420852,-302.630261,8360.879968,1,0.64,60,60,2700,11475.800,9814.600,True,31.2,reality.1000.1,56,true
8,siêu thị 24h ninja mark [SW],SW,Siêu thị,Thanh Xuân,20.8687831,105.7053844,-14495.644814,-12033.170257,1,0.20,60,60,3600,26399.100,26389.400,True,22.103,reality.1000.1,602,true
9,Không có tên [E],E,Cửa hàng đồ uống,Hoàng Mai,20.9818976,105.9904440,15100.780746,544.588273,1,1.11,60,60,2700,21636.600,23235.100,True,11.213,reality.1000.1,268,true
10,Phường Ô Chợ Dừa,C,Chợ dân sinh,Thanh Xuân,21.0211688,105.8236917,-2212.342664,4911.346476,1,0.28,60,60,3600,6877.200,6414.100,True,6.499,reality.1000.1,982,true
11,Delícia Coffee & Lounge [SW],SW,Cửa hàng đồ uống,Thanh Xuân,20.8610181,105.7074065,-14285.699483,-12896.598863,1,0.84,60,60,1800,27687.600,27677.800,True,10.816,reality.1000.1,596,true
12,WinMart+,C,Siêu thị,Thanh Xuân,20.9904183,105.8176043,-2844.369373,1492.046884,1,0.25,60,60,3600,5487.000,6622.300,True,6.379,reality.1000.1,962,true
13,WinMart+ [NE],NE,Siêu thị,Hoàng Mai,21.0898864,105.9787013,13881.590280,12552.394967,1,1.24,60,60,1800,23031.900,24642.000,True,7.599,reality.1000.1,132,true
14,Trường Tiểu học Chu Văn An [NW],NW,Trường học,Hoàng Mai,21.0611803,105.7182361,-13161.311985,9360.422283,1,1.82,60,60,1800,20170.700,18947.500,True,3.551,reality.1000.1,826,true
15,5050 Rooftop Cafe & Pub [S],S,Cửa hàng đồ uống,Thanh Xuân,20.8697412,105.8110538,-3524.477623,-11926.634398,1,0.39,60,60,3600,19443.900,19345.400,True,64.623,reality.1000.1,507,true
16,Starbucks [E],E,Cửa hàng đồ uống,Thanh Xuân,20.9993226,105.9326794,9103.348336,2482.159870,1,0.87,60,60,1800,14036.100,14608.400,True,15.468,reality.1000.1,344,true
17,WinMart+ [S],S,Siêu thị,Thanh Xuân,20.8691510,105.8321758,-1331.477630,-11992.261644,1,1.20,60,60,1800,18114.600,16484.500,True,7.756,reality.1000.1,450,true
18,Không có tên [NW],NW,Trường học,Hoàng Mai,21.0600232,105.7273268,-12217.466467,9231.758634,1,0.80,60,60,2700,18543.000,18022.900,True,4.846,reality.1000.1,814,true
19,Cà Phê Big One [NW],NW,Cửa hàng đồ uống,Thanh Xuân,21.1119116,105.7431060,-10579.184795,15001.485465,1,1.41,60,60,2700,27497.500,26708.800,True,147.932,reality.1000.1,840,true
20,WinMart+ [S],S,Siêu thị,Thanh Xuân,20.8738937,105.8074333,-3900.377465,-11464.897465,1,0.23,60,60,2700,19080.000,18981.500,True,39.343,reality.1000.1,516,true
21,Starbucks [SW],SW,Cửa hàng đồ uống,Thanh Xuân,20.8730275,105.6815161,-16973.780489,-11561.214511,1,1.24,60,60,3600,27180.400,27170.600,True,59.438,reality.1000.1,648,true
22,siêu thị 24h ninja mark [S],S,Siêu thị,Thanh Xuân,20.8687831,105.8211660,-2474.574464,-12033.170257,1,1.29,60,60,2700,19484.700,17838.700,True,33.547,reality.1000.1,480,true
23,Trường Tiểu học Tam Hiệp [S],S,Trường học,Hoàng Mai,20.8359750,105.8420852,-302.630261,-15681.264530,1,1.75,60,60,1800,20313.100,18693.000,True,106.667,reality.1000.1,471,true
