id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_40mile_square,outside_25mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,,
1,Cà Phê Big One [S],S,Cửa hàng đồ uống,Thanh Xuân,20.8956954,105.8588876,1441.885555,-9040.659033,1,1.94,60,60,1800,10488.800,10226.800,True,12.591,reality.1000.1,478,true,false
2,Jollibee,,amenity:fast_food,Thành phố Bắc Ninh,21.1768899,106.0745805,23863.097423,22251.743668,1,0.81,60,60,3600,44656.048,44656.048,true,,openstreetmap_25_40_ring,node:6947229585,true,true
3,Highlands Coffee,C,Cửa hàng đồ uống,Hoàng Mai,20.9651775,105.8329648,-1249.559394,-1314.602020,1,1.30,60,60,3600,2722.700,3902.700,True,14.4,reality.1000.1,908,true,false
4,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.0804372,105.7318911,-11743.576217,11501.691866,1,1.93,60,60,3600,20684.700,20514.700,True,39.647,reality.1000.1,782,true,false
5,Coffee Cây [N],N,Cửa hàng đồ uống,Thanh Xuân,21.1102173,105.8314161,-1410.353783,14813.087901,1,0.70,60,60,2700,21416.400,21055.100,True,12.394,reality.1000.1,83,true,false
6,Cửa Hàng Điện Tử Yên Vĩnh - Đại Lý VTC Digital,,shop:yes,Thành phố Bắc Ninh,21.1813548,106.0631142,22671.265216,22748.776336,1,1.72,60,60,1800,43956.466,43956.466,true,,openstreetmap_25_40_ring,node:6545240634,true,true
7,TK mark [NW],NW,Chợ dân sinh,Thanh Xuân,21.0911770,105.7035209,-14689.123437,12695.903139,1,1.32,60,60,1800,23490.100,23023.900,True,18.501,reality.1000.1,851,true,false
8,Trường Quốc tế Singapore [E],E,Trường học,Hoàng Mai,20.9635886,106.0020146,16302.102861,-1491.279639,1,1.01,60,60,1800,24267.000,25285.000,True,115.876,reality.1000.1,297,true,false
9,5050 Rooftop Cafe & Pub [S],S,Cửa hàng đồ uống,Thanh Xuân,20.8697412,105.8110538,-3524.477623,-11926.634398,1,0.39,60,60,3600,19443.900,19345.400,True,64.623,reality.1000.1,507,true,false
10,Không có tên,,leisure:park,,21.1922991,106.0396346,20230.744431,23967.095812,1,1.97,60,60,2700,42926.154,42926.154,true,,openstreetmap_25_40_ring,node:6545865259,true,true
11,9.0cafe [N],N,Cửa hàng đồ uống,Thanh Xuân,21.1168309,105.8159563,-3015.473624,15548.486668,1,1.76,60,60,2700,22232.400,21138.500,True,0.736,reality.1000.1,108,true,false
12,Lốp Ôtô Phượng Hạnh,,shop:tyres,,21.2352817,105.7191170,-13084.553318,28751.918844,1,1.89,60,60,3600,43234.298,43234.298,true,,openstreetmap_25_40_ring,node:6520610594,true,true
13,Trường Mầm non Lĩnh Nam (cơ sở 2) [W],W,Trường học,Hoàng Mai,20.9803687,105.7816386,-6578.522381,374.582349,1,1.84,60,60,3600,10844.100,11833.100,True,8.148,reality.1000.1,741,true,false
14,Tho Ha Village,,tourism:attraction,,21.2061457,106.0321487,19452.643673,25508.499324,1,1.98,60,60,3600,43905.209,43905.209,true,,openstreetmap_25_40_ring,node:7140198186,true,true
15,9.0cafe [SE],SE,Cửa hàng đồ uống,Thanh Xuân,20.9006147,105.9317379,9005.596726,-8493.657830,1,1.36,60,60,1800,23482.500,25086.400,True,16.818,reality.1000.1,405,true,false
16,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nhị) [W],W,Trường học,Hoàng Mai,20.9689586,105.7448574,-10397.344998,-894.162883,1,1.18,60,60,1800,15757.600,15352.700,True,22.064,reality.1000.1,657,true,false
17,Không có tên [S],S,Cửa hàng đồ uống,Hoàng Mai,20.8737895,105.8746624,3079.710396,-11476.483976,1,0.68,60,60,3600,13503.200,14571.200,True,68.485,reality.1000.1,441,true,false
18,Trường Tiểu học Chu Văn An [NW],NW,Trường học,Hoàng Mai,21.0611803,105.7182361,-13161.311985,9360.422283,1,1.82,60,60,1800,20170.700,18947.500,True,3.551,reality.1000.1,826,true,false
19,Trường Tiểu học Hoàng Liệt [SW],SW,Trường học,Hoàng Mai,20.8523928,105.7340794,-11516.375105,-13855.688463,1,1.23,60,60,1800,24918.400,26267.400,True,52.63,reality.1000.1,547,true,false
20,Không có tên,,amenity:fuel,,20.9236235,106.1497687,31678.322766,-5941.871980,1,0.66,60,60,3600,44112.347,44112.347,true,,openstreetmap_25_40_ring,node:4435525689,true,true
21,Everything Coffee 'N Bagel [SW],SW,Cửa hàng đồ uống,Thanh Xuân,20.8899854,105.6900580,-16086.914347,-9675.582064,1,1.39,60,60,3600,24235.100,24225.300,True,52.997,reality.1000.1,647,true,false
22,WinMart+ [E],E,Siêu thị,Thanh Xuân,20.9730515,105.9428562,10159.958615,-439.053168,1,0.70,60,60,2700,17403.200,19578.800,True,1.592,reality.1000.1,288,true,false
23,MM Mega Market Hoàng Mai [NE],NE,Siêu thị,Hoàng Mai,21.0715654,105.9930988,15376.416404,10515.192716,1,1.62,60,60,3600,23784.400,25787.200,True,14.137,reality.1000.1,150,true,false
24,Không có tên [NW],NW,Trường học,Hoàng Mai,21.0600232,105.7273268,-12217.466467,9231.758634,1,0.80,60,60,2700,18543.000,18022.900,True,4.846,reality.1000.1,814,true,false
25,Starbucks [N],N,Cửa hàng đồ uống,Thanh Xuân,21.0892437,105.7972977,-4952.710138,12480.929988,1,0.96,60,60,1800,17599.600,18538.300,True,4.765,reality.1000.1,112,true,false
26,WinMart+ [E],E,Siêu thị,Hoàng Mai,20.9817783,105.9787013,13881.590280,531.322718,1,1.60,60,60,3600,20122.800,22468.400,True,17.606,reality.1000.1,253,true,false
27,WinMart+ [E],E,Siêu thị,Hoàng Mai,20.9626526,106.0070992,16830.013464,-1595.358091,1,1.81,60,60,3600,24439.600,26792.700,True,110.79,reality.1000.1,310,true,false
28,WinMart+ [NE],NE,Siêu thị,Thanh Xuân,21.0901099,105.9232149,8120.692885,12577.247033,1,1.90,60,60,3600,18509.900,19719.600,True,4.7,reality.1000.1,222,true,false
29,Chùa Một Mái,,amenity:place_of_worship,,21.0237471,105.6410221,-21201.907392,5203.887172,1,1.87,60,60,1800,29879.080,29879.080,true,,openstreetmap_25_40_ring,node:5317498202,true,true
30,WinMart+ [W],W,Siêu thị,Hoàng Mai,20.9536335,105.7399463,-10907.241895,-2598.236253,1,1.32,60,60,3600,15027.200,17172.200,True,11.111,reality.1000.1,676,true,false
31,Cà Phê Parkland [S],S,Cửa hàng đồ uống,Thanh Xuân,20.8725687,105.8434889,-156.890554,-11612.230743,1,1.23,60,60,3600,17424.000,15803.800,True,7.131,reality.1000.1,430,true,false
32,Trường Mầm non Hoa Mai [SW],SW,Trường học,Hoàng Mai,20.8656867,105.7446677,-10417.040676,-12377.474228,1,0.46,60,60,1800,22301.500,23585.300,True,20.455,reality.1000.1,539,true,false
33,Siêu thị B11 Kim Liên [S],S,Siêu thị,Thanh Xuân,20.8933838,105.8463690,142.136966,-9297.697225,1,0.69,60,60,3600,11209.700,11561.100,True,256.676,reality.1000.1,476,true,false
34,WinMart+ [SW],SW,Siêu thị,Thanh Xuân,20.8609000,105.7210939,-12864.599772,-12909.730983,1,1.19,60,60,2700,25928.200,27275.200,True,50.817,reality.1000.1,560,true,false
35,KFC [SW],SW,Cửa hàng ăn uống,Hoàng Mai,20.8536675,105.7222912,-12740.289626,-13713.948290,1,0.57,60,60,2700,26532.500,27816.300,True,78.989,reality.1000.1,562,true,false
36,Thuế cơ sở 4 thành phố Hà Nội [W],W,Uỷ ban nhân dân,Thanh Xuân,21.0082151,105.7169594,-13293.865867,3470.960755,1,1.58,60,60,1800,18327.600,18334.500,True,10.394,reality.1000.1,750,true,false
37,Cafe Dinh [W],W,Cửa hàng đồ uống,Hoàng Mai,20.9340237,105.7498144,-9882.682515,-4778.746526,1,0.30,60,60,3600,15832.000,15813.600,True,208.078,reality.1000.1,736,true,false
38,Trường Trung học cơ sở Trưng Vương,,amenity:school,,21.2135023,105.7183857,-13160.566233,26327.436036,1,1.71,60,60,2700,40283.981,40283.981,true,,openstreetmap_25_40_ring,node:1868388078,true,true
39,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.0920448,105.6856511,-16544.462480,12792.398097,1,1.41,60,60,2700,26654.200,26174.700,True,12.025,reality.1000.1,884,true,false
40,Xuan Mai Market,,shop:supermarket,,20.9010961,105.5795156,-27595.027024,-8449.622148,1,1.21,60,60,3600,39498.558,39498.558,true,,openstreetmap_25_40_ring,node:4304794291,true,true
41,WinMart+,C,Siêu thị,Hoàng Mai,20.9824994,105.8819225,3833.493146,611.505380,1,0.58,60,60,1800,5105.900,5739.800,True,8.204,reality.1000.1,954,true,false
42,WinMart+ [E],E,Siêu thị,Hoàng Mai,20.9562867,105.9915031,15210.742222,-2303.213874,1,1.20,60,60,2700,23347.000,26235.100,True,4.277,reality.1000.1,279,true,false
43,Cà Phê Parkland [E],E,Cửa hàng đồ uống,Thanh Xuân,20.9806768,105.9592705,11864.179796,408.841506,1,0.95,60,60,1800,19223.500,21773.600,True,3.544,reality.1000.1,257,true,false
44,Starbucks [SW],SW,Cửa hàng đồ uống,Thanh Xuân,20.8912145,105.7011162,-14938.792365,-9538.912380,1,1.68,60,60,1800,23582.700,23572.900,True,16.942,reality.1000.1,634,true,false
45,Hội đồng nhân dân - Ủy ban nhân dân phường Thanh Liệt [SW],SW,Uỷ ban nhân dân,Thanh Xuân,20.8659533,105.7013053,-14919.158982,-12347.829661,1,1.28,60,60,3600,26400.900,26391.100,True,16.97,reality.1000.1,611,true,false
46,WinMart+ [S],S,Siêu thị,Thanh Xuân,20.8789786,105.8477702,287.617109,-10899.482383,1,1.06,60,60,3600,17698.600,16078.500,True,134.256,reality.1000.1,436,true,false
47,Trường Tiểu học Chu Văn An [NW],NW,Trường học,Hoàng Mai,21.0551766,105.7369531,-11218.012068,8692.841302,1,0.30,60,60,1800,17585.100,18125.100,True,36.777,reality.1000.1,818,true,false
48,Taste Tea [SE],SE,Cửa hàng đồ uống,Thanh Xuân,20.8975785,105.9639148,12346.376078,-8831.267867,1,1.30,60,60,3600,23719.100,27276.100,True,25.598,reality.1000.1,377,true,false
49,WinMart+ [W],W,Siêu thị,Hoàng Mai,20.9709606,105.7880094,-5917.071555,-671.550640,1,0.85,60,60,3600,9206.300,9165.100,True,2.432,reality.1000.1,754,true,false
50,Trường Tiểu học Chu Văn An [SW],SW,Trường học,Hoàng Mai,20.8389604,105.7369531,-11218.012068,-15349.303196,1,1.15,60,60,2700,26743.500,28035.400,True,18.966,reality.1000.1,577,true,false
51,WinMart+ [S],S,Siêu thị,Thanh Xuân,20.8758286,105.8014327,-4523.392130,-11249.746402,1,1.58,60,60,1800,17893.900,18690.700,True,5.985,reality.1000.1,524,true,false
52,Nhà Hàng Pacific,,amenity:restaurant,,20.9067379,105.5779268,-27760.170358,-7821.576972,1,0.81,60,60,1800,39473.000,39473.000,true,,openstreetmap_25_40_ring,node:7055939507,true,true
53,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.0951948,105.7319886,-11733.453241,13142.662116,1,1.16,60,60,3600,23224.900,23054.900,True,8.583,reality.1000.1,800,true,false
54,Trung tâm Công nghệ Phần mềm Thủy lợi,C,Uỷ ban nhân dân,Thanh Xuân,21.0088849,105.8252199,-2053.676695,3545.439117,1,1.06,60,60,1800,6378.300,5509.500,True,1.671,reality.1000.1,975,true,false
55,Siêu Thị T-Mart,C,Siêu thị,Thanh Xuân,20.9713145,105.8361596,-917.858022,-632.198755,1,0.53,60,60,3600,2268.200,2078.100,True,24.23,reality.1000.1,904,true,false
56,Trường Tiểu học Tam Hiệp [N],N,Trường học,Hoàng Mai,21.0521912,105.8420852,-302.630261,8360.879968,1,0.64,60,60,2700,11475.800,9814.600,True,31.2,reality.1000.1,56,true,false
57,Không có tên,,amenity:fuel,,20.9176876,106.1026417,26779.839696,-6602.656368,1,1.56,60,60,2700,37749.567,37749.567,true,,openstreetmap_25_40_ring,node:4435514693,true,true
58,Trường Mầm non Sao Mai [S],S,Trường học,Hoàng Mai,20.8705557,105.8379575,-731.190344,-11836.066130,1,1.82,60,60,3600,17523.900,15903.800,True,95.603,reality.1000.1,438,true,false
59,Không có tên,,tourism:hostel,,20.9080642,106.0555230,21882.219347,-7673.933256,1,1.01,60,60,1800,31737.156,31737.156,true,,openstreetmap_25_40_ring,node:6543701589,true,true
60,Khách Sạn New Airport aka New Airport Hotel,,tourism:hotel,,21.2050339,105.8311936,-1435.067300,25384.733748,1,1.16,60,60,2700,34798.065,34798.065,true,,openstreetmap_25_40_ring,node:4804103351,true,true
61,Đền Bà Chúa kho,,amenity:place_of_worship,Thành phố Bắc Ninh,21.2055590,106.0847376,24918.848530,25443.187880,1,0.85,60,60,1800,48741.784,48741.784,true,,openstreetmap_25_40_ring,node:4713519694,true,true
62,WinMart+ [S],S,Siêu thị,Hoàng Mai,20.8647796,105.8975983,5461.039272,-12478.339146,1,1.05,60,60,3600,15364.500,15309.000,True,33.414,reality.1000.1,496,true,false
63,Chùa Hòa Đình,,amenity:place_of_worship,Thành phố Bắc Ninh,21.1702513,106.0475647,21055.016304,21512.734716,1,1.31,60,60,3600,41198.406,41198.406,true,,openstreetmap_25_40_ring,node:6545871112,true,true
64,Công Ty TNHH Tep Star,,office:company,Thành phố Bắc Ninh,21.1654227,106.0603905,22388.157904,20975.214964,1,0.59,60,60,3600,41988.280,41988.280,true,,openstreetmap_25_40_ring,node:5309636322,true,true
65,Lanh Phấn,,shop:electronics,,20.8358248,106.0982623,26324.635318,-15715.623264,1,1.65,60,60,3600,41961.013,41961.013,true,,openstreetmap_25_40_ring,node:5102282621,true,true
66,Tiệm Vàng Bạc Đá Quý Quang Trung,,shop:yes,Thành phố Bắc Ninh,21.1811370,106.0628452,22643.304770,22724.530840,1,1.63,60,60,2700,43905.948,43905.948,true,,openstreetmap_25_40_ring,node:6545240633,true,true
67,Petrolimex,,amenity:fuel,,20.6884564,105.9113609,6897.696546,-32120.673552,1,1.43,60,60,3600,44963.891,44963.891,true,,openstreetmap_25_40_ring,node:4437491193,true,true
68,Không có tên,,amenity:atm,,21.1604985,105.7942048,-5279.763770,20427.053020,1,1.68,60,60,3600,28876.072,28876.072,true,,openstreetmap_25_40_ring,node:5014142525,true,true
69,Phường Ô Chợ Dừa,C,Chợ dân sinh,Thanh Xuân,21.0211688,105.8236917,-2212.342664,4911.346476,1,0.28,60,60,3600,6877.200,6414.100,True,6.499,reality.1000.1,982,true,false
70,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.1139334,105.7964695,-5038.698331,15226.299368,1,1.05,60,60,1800,22512.700,22548.300,True,33.769,reality.1000.1,119,true,false
71,Vinh Thanh,,shop:electronics,,20.7822191,106.1136685,27925.989316,-21683.009788,1,0.52,60,60,2700,48389.040,48389.040,true,,openstreetmap_25_40_ring,node:4763414071,true,true
72,Cục Dự trữ Nhà nước khu vực Hà Nội,C,Uỷ ban nhân dân,Thanh Xuân,20.9897784,105.8399155,-527.900221,1420.893251,1,0.67,60,60,1800,3014.100,2334.300,True,19.873,reality.1000.1,914,true,false
73,Cửa hàng xăng dầu công ty TNHH thiết bị điện Sơn Quang Huy,,amenity:fuel,Thị xã Quế Võ,21.1568383,106.1326672,29900.755592,20019.599556,1,0.28,60,60,2700,49249.019,49249.019,true,,openstreetmap_25_40_ring,node:993196695,true,true
74,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.0823370,105.8315470,-1396.763039,11712.939988,1,0.80,60,60,3600,15815.000,15084.000,True,341.784,reality.1000.1,36,true,false
75,WinMart+ [SE],SE,Siêu thị,Thanh Xuân,20.8977172,105.9122511,6982.372020,-8815.845130,1,0.37,60,60,3600,24043.800,25647.800,True,41.873,reality.1000.1,413,true,false
76,WinMart+ [NE],NE,Siêu thị,Thanh Xuân,21.1022284,105.9411370,9981.461996,13924.762752,1,1.77,60,60,3600,21498.300,22726.800,True,10.553,reality.1000.1,199,true,false
77,WinMart+ [W],W,Siêu thị,Thanh Xuân,20.9880742,105.7103253,-13982.653920,1231.394857,1,0.31,60,60,2700,19244.000,18777.600,True,1.356,reality.1000.1,718,true,false
78,WinMart+ [S],S,Siêu thị,Thanh Xuân,20.8681423,105.8445095,-50.926356,-12104.423966,1,1.51,60,60,2700,16772.400,15152.200,True,14.505,reality.1000.1,425,true,false
79,Chùa Hồng Ân,,amenity:place_of_worship,Thành phố Bắc Ninh,21.1647583,106.0320146,19438.705027,20901.253956,1,1.13,60,60,2700,39065.672,39065.672,true,,openstreetmap_25_40_ring,node:6546579571,true,true
80,Hữu phương,,shop:alcohol,,21.2492485,106.1094856,27491.209575,30306.703020,1,1.88,60,60,2700,56001.727,56001.727,true,,openstreetmap_25_40_ring,node:4970726121,true,true
81,WinMart+ [N],N,Siêu thị,Hoàng Mai,21.0898864,105.8629197,1860.519930,12552.394967,1,1.20,60,60,3600,19154.800,18886.000,True,61.221,reality.1000.1,13,true,false
82,WinMart+ [SW],SW,Siêu thị,Thanh Xuân,20.8642210,105.7318911,-11743.576217,-12540.452632,1,0.30,60,60,3600,24850.300,26149.700,True,36.71,reality.1000.1,541,true,false
83,siêu thị 24h ninja mark [SW],SW,Siêu thị,Thanh Xuân,20.8687831,105.7053844,-14495.644814,-12033.170257,1,0.20,60,60,3600,26399.100,26389.400,True,22.103,reality.1000.1,602,true,false
84,Qua cầu vượt ngã 4 Nam Hồng 70m Cao tốc BTL-NB,,public_transport:platform,,21.1582192,105.7791783,-6841.650923,20173.321344,1,0.84,60,60,2700,29154.662,29154.662,true,,openstreetmap_25_40_ring,node:7294698185,true,true
85,AEON MaxValu Linh Đàm [S],S,Siêu thị,Hoàng Mai,20.8499186,105.8342717,-1113.869985,-14130.806951,1,1.75,60,60,1800,19006.400,17386.300,True,211.829,reality.1000.1,454,true,false
86,TK mark [SE],SE,Chợ dân sinh,Thanh Xuân,20.8749608,105.9350841,9353.017263,-11346.241359,1,0.30,60,60,2700,28011.700,29615.600,True,26.847,reality.1000.1,379,true,false
87,Trường Mầm non Định Công (Cơ sở 3) [E],E,Trường học,Hoàng Mai,20.9733383,105.9554135,11463.725247,-407.162463,1,0.76,60,60,2700,20520.000,22829.300,True,31.83,reality.1000.1,258,true,false
88,Chợ Trung Kính [NE],NE,Chợ dân sinh,Thanh Xuân,21.1152762,105.9263175,8442.821555,15375.611916,1,1.06,60,60,2700,22569.600,24069.400,True,11.046,reality.1000.1,235,true,false
89,WinMart+ [E],E,Siêu thị,Hoàng Mai,20.9609439,105.9974578,15828.991301,-1785.356862,1,0.68,60,60,3600,23191.600,24780.000,True,67.874,reality.1000.1,287,true,false
90,Trường Mầm non Tứ Hiệp (điểm Đồng Trì) [W],W,Trường học,Hoàng Mai,20.9346563,105.7572318,-9112.568031,-4708.404615,1,1.81,60,60,3600,15387.000,15368.700,True,33.072,reality.1000.1,740,true,false
91,Trường Phổ thông Lương Thế Vinh - Bắc Ninh,,amenity:school,Thành phố Bắc Ninh,21.1873821,106.0506967,21380.563209,23419.735372,1,0.55,60,60,3600,43401.519,43401.519,true,,openstreetmap_25_40_ring,node:6546579568,true,true
92,WinMart+ [S],S,Siêu thị,Thanh Xuân,20.8924144,105.8263277,-1938.658922,-9405.489587,1,1.77,60,60,3600,10666.700,10799.100,True,3.027,reality.1000.1,502,true,false
93,WinMart+ [E],E,Siêu thị,Thanh Xuân,20.9762504,105.9602911,11970.143994,-83.351717,1,1.56,60,60,3600,19817.400,22367.500,True,7.91,reality.1000.1,252,true,false
94,WinMart+ [E],E,Siêu thị,Thanh Xuân,20.9905970,105.9489246,10790.012642,1511.917418,1,1.91,60,60,1800,15140.600,17074.000,True,4.26,reality.1000.1,298,true,false
95,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.0955066,105.7270914,-12241.906965,13177.332694,1,1.67,60,60,3600,23810.200,23640.200,True,24.766,reality.1000.1,806,true,false
96,Photocopy Xuân Trường,,shop:copyshop,,21.1846716,106.0673497,23111.512316,23118.002512,1,1.20,60,60,1800,44739.790,44739.790,true,,openstreetmap_25_40_ring,node:5209662744,true,true
