id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_10mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,
1,Trường Tiểu học Đại Kim,C,Trường học,Hoàng Mai,20.9780535,105.8219244,-2395.833284,117.143855,1,1.02,60,60,3600,4567.300,4325.300,true,44.188,1000.1,943,true
2,Vietcombank,,amenity:atm,Thanh Xuân,20.9853503,105.7949304,-5204.343325,929.555396,1,1.22,60,60,1800,10189.700,8389.600,true,,osm,node:1491047945,true
3,Cửa Hàng Thời Trang Dan Gun,,shop:clothes,Đống Đa,21.0154506,105.8171293,-2896.941288,4280.320792,1,1.31,60,60,1800,7392.000,6658.800,true,,osm,node:3733115426,true
4,WinMart+,C,Siêu thị,Hoàng Mai,20.9770184,105.8925520,4937.105182,2.045987,1,0.22,60,60,1800,6265.300,7853.900,true,4.293,1000.1,973,true
5,Trường Mầm Non Magic Star,,amenity:kindergarten,Đống Đa,21.0150750,105.8283547,-1730.148752,4238.509000,1,1.53,60,60,3600,7169.700,6014.100,true,,osm,node:4066099003,true
6,BIDV,,amenity:atm,Hai Bà Trưng,21.0153173,105.8569729,1244.489315,4265.481836,1,1.78,60,60,1800,5382.800,6850.100,true,,osm,node:1498025748,true
7,Không có tên,,amenity:bank,,20.9953534,105.7987246,-4809.965910,2043.100488,1,1.72,60,60,1800,8624.100,8095.300,true,,osm,node:1705965309,true
8,Techcombank - ATM,,amenity:atm,,21.0091945,105.8197928,-2620.091294,3583.891740,1,1.30,60,60,3600,6398.400,6541.300,true,,osm,node:724829803,true
9,Maritime Bank,,amenity:bank,,21.0122623,105.8112735,-3505.605900,3925.399236,1,1.55,60,60,1800,7615.400,6659.600,true,,osm,node:1709350810,true
10,WinMart+,C,Siêu thị,Thanh Xuân,20.9847441,105.8388667,-636.792295,861.104631,1,0.43,60,60,3600,3308.800,1748.200,true,7.4,1000.1,917,true
11,Không có tên,,amenity:atm,,21.0136292,105.8193027,-2671.033356,4077.562544,1,1.43,60,60,3600,7068.300,6335.200,true,,osm,node:1495020923,true
12,Không có tên,,amenity:cafe,,21.0169136,105.8480842,320.578468,4443.181952,1,1.77,60,60,1800,5375.500,5775.000,true,,osm,node:2366850689,true
13,Trường Mầm non Yên Mỹ,C,Trường học,Hoàng Mai,20.9425726,105.8712624,2726.704053,-3828.152218,1,0.36,60,60,1800,7871.500,9113.100,true,27.91,1000.1,991,true
14,Cà Phê KOK,C,Cửa hàng đồ uống,Thanh Xuân,20.9839177,105.8155864,-3053.878637,769.213144,1,1.84,60,60,3600,5456.700,5311.800,true,0.784,1000.1,961,true
15,The American Club,,amenity:restaurant,,21.0236970,105.8541656,952.692436,5198.310040,1,0.65,60,60,1800,6008.600,6934.000,true,,osm,node:4150312890,true
16,Công Ty TNHH MTC Auto,,office:company,Huyện Thanh Trì,20.9326102,105.8457910,82.218264,-4941.472536,1,1.54,60,60,2700,5534.300,6049.100,true,,osm,node:4366081237,true
17,WinMart+,C,Siêu thị,Thanh Xuân,21.0114072,105.8087605,-3762.580401,3825.906080,1,1.92,60,60,1800,7210.900,6740.200,true,9.48,1000.1,984,true
18,9 Trần Thánh Tông,,public_transport:platform,,21.0145533,105.8598941,1548.125208,4180.433356,1,1.24,60,60,1800,5935.700,6896.600,true,,osm,node:738814448,true
19,VietinBank,,amenity:atm,,21.0169436,105.8532393,856.410795,4446.521552,1,0.80,60,60,3600,5222.800,6148.600,true,,osm,node:724829431,true
20,WinMart+ [E],E,Siêu thị,Thanh Xuân,20.9839367,105.9172143,7497.678220,771.325848,1,0.29,60,60,3600,13207.400,14811.300,true,12.302,1000.1,353,true
21,Không có tên,,tourism:hotel,,21.0235107,105.8449269,-7.598173,5177.571124,1,1.29,60,60,3600,6490.000,6541.700,true,,osm,node:2367214441,true
22,AEON MaxValu Linh Đàm,C,Siêu thị,Hoàng Mai,20.9640845,105.8230327,-2280.763599,-1436.138075,1,2.00,60,60,3600,4115.600,3900.100,true,14.313,1000.1,935,true
23,Cua Hang Xang Dau Petro Viet Nam,,amenity:fuel,,21.0101847,105.8187998,-2723.305878,3694.120804,1,1.53,60,60,1800,7326.600,6794.800,true,,osm,node:729787569,true
24,Starbucks,C,Cửa hàng đồ uống,Thanh Xuân,20.9871934,105.7860587,-6119.603752,1133.454365,1,0.59,60,60,2700,10845.800,11683.200,true,13.573,1000.2,71,true
25,BIDV,,amenity:atm,Hoàn Kiếm,21.0221628,105.8575468,1304.141731,5027.522896,1,1.36,60,60,2700,6468.100,7290.100,true,,osm,node:1498025766,true
26,9.0cafe,C,Cửa hàng đồ uống,Thanh Xuân,21.0147806,105.8047173,-4182.367238,4201.011046,1,1.87,60,60,3600,8943.400,7331.600,true,1.894,1000.1,998,true
