id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_40mile_square,outside_25mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,,
1,Chợ Chờ,,amenity:marketplace,,21.1945675,105.9557221,11508.696336,24219.614100,1,1.93,60,60,2700,36691.699,36691.699,true,,openstreetmap_25_40_ring,node:5618095144,true,true
2,Ủy ban nhân dân xã Nghĩa Hương,,office:government,,20.9728109,105.6140828,-24002.036934,-466.330612,1,1.17,60,60,1800,32848.944,32848.944,true,,openstreetmap_25_40_ring,node:6185334966,true,true
3,Trường Trung học cơ sở Tân Định [NE],NE,Trường học,Hoàng Mai,21.0902560,105.9721661,13203.070559,12593.492612,1,0.40,60,60,1800,22511.700,24185.200,True,4.651,reality.1000.1,129,true,false
4,WinMart+ [NW],NW,Siêu thị,Hoàng Mai,21.0707607,105.7755360,-7212.127236,10425.714159,1,1.47,60,60,2700,19121.300,18507.800,True,3.014,reality.1000.1,844,true,false
5,AEON MaxValu Linh Đàm [S],S,Siêu thị,Hoàng Mai,20.8499186,105.8342717,-1113.869985,-14130.806951,1,1.75,60,60,3600,19006.400,17386.300,True,211.829,reality.1000.1,454,true,false
6,WinMart+ [SW],SW,Siêu thị,Thanh Xuân,20.8789786,105.7319886,-11733.453241,-10899.482383,1,1.76,60,60,1800,26130.400,26111.300,True,15.35,reality.1000.1,559,true,false
7,Phòng Tập Aerobic - Zumba - Yoga - Huệ Sala,,leisure:fitness_centre,Đông Anh,21.1594453,105.8477039,281.049258,20309.810796,1,0.84,60,60,3600,27793.217,27793.217,true,,openstreetmap_25_40_ring,node:7016199314,true,true
8,Không có tên [NW],NW,Trường học,Hoàng Mai,21.0600232,105.7273268,-12217.466467,9231.758634,1,0.80,60,60,2700,18543.000,18022.900,True,4.846,reality.1000.1,814,true,false
9,Delícia Coffee & Lounge [NW],NW,Cửa hàng đồ uống,Thanh Xuân,21.0772343,105.7074065,-14285.699483,11145.545636,1,1.09,60,60,2700,21926.800,21443.000,True,24.632,reality.1000.1,835,true,false
10,Công ty TNHH Thiết bị máy móc bao bì Bảo Bảo,,office:company,Đống Cao,21.1645411,106.0429578,20576.165080,20877.075252,1,1.25,60,60,2700,40109.411,40109.411,true,,openstreetmap_25_40_ring,node:5229537345,true,true
11,Co.opmart [N],N,Siêu thị,Thanh Xuân,21.0846041,105.8014391,-4522.727648,11965.030006,1,1.78,60,60,3600,16707.000,17028.200,True,46.766,reality.1000.1,106,true,false
12,Tiệm Vàng Bạc Đá Quý Quang Trung,,shop:yes,Thành phố Bắc Ninh,21.1811370,106.0628452,22643.304770,22724.530840,1,1.10,60,60,1800,43896.017,43896.017,true,,openstreetmap_25_40_ring,node:6545240633,true,true
13,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.0907566,105.8124548,-3379.018244,12649.156792,1,0.95,60,60,3600,17338.500,17153.300,True,86.221,reality.1000.1,91,true,false
14,Trường Mầm non Sao Mai [S],S,Trường học,Hoàng Mai,20.8705557,105.8379575,-731.190344,-11836.066130,1,1.82,60,60,2700,17523.900,15903.800,True,95.603,reality.1000.1,438,true,false
15,Trường Mầm non A Tứ Hiệp,C,Trường học,Hoàng Mai,20.9490044,105.8491344,429.255713,-3112.968688,1,0.52,60,60,3600,3908.300,4818.100,True,24.204,reality.1000.1,931,true,false
16,Quan an Nam Nhu 1 [E],E,Cửa hàng ăn uống,Hoàng Mai,20.9685702,106.0091177,17039.585024,-937.350993,1,0.95,60,60,1800,23447.600,25813.900,True,78.799,reality.1000.1,312,true,false
17,Trung tâm Công nghệ Phần mềm Thủy lợi [S],S,Uỷ ban nhân dân,Thanh Xuân,20.8947190,105.8364589,-886.783081,-9149.229759,1,0.43,60,60,3600,10550.600,10683.000,True,49.365,reality.1000.1,491,true,false
18,Chợ Trung Kính [S],S,Chợ dân sinh,Thanh Xuân,20.8990600,105.8105359,-3578.248795,-8666.532583,1,1.53,60,60,3600,12798.400,12930.800,True,15.832,reality.1000.1,530,true,false
19,Petrolimex – Cửa hàng số 21,,amenity:fuel,Thị xã Quế Võ,21.1543306,106.1465040,31338.982734,19740.442392,1,1.41,60,60,3600,50680.330,50680.330,true,,openstreetmap_25_40_ring,node:993197034,true,true
20,WinMart+ [NE],NE,Siêu thị,Thanh Xuân,21.1063017,105.9665149,12616.332487,14377.693047,1,1.22,60,60,1800,24004.100,24780.200,True,37.206,reality.1000.1,168,true,false
21,WinMart+,C,Siêu thị,Thanh Xuân,20.9740685,105.8412617,-388.130474,-325.967927,1,1.19,60,60,2700,820.700,863.000,True,9.854,reality.1000.1,896,true,false
22,Không có tên,,amenity:shelter,,21.1911607,105.9607230,12028.500779,23840.369124,1,1.45,60,60,3600,36538.503,36538.503,true,,openstreetmap_25_40_ring,node:4537651695,true,true
23,WinMart+ [SE],SE,Siêu thị,Thanh Xuân,20.8789786,105.9635518,12308.687459,-10899.482383,1,0.78,60,60,2700,29941.900,29716.300,True,39.527,reality.1000.1,365,true,false
24,WinMart+ [W],W,Siêu thị,Thanh Xuân,20.9826485,105.6966732,-15400.088595,628.084543,1,1.42,60,60,1800,22689.500,22197.400,True,63.731,reality.1000.1,748,true,false
25,WinMart+,C,Siêu thị,Thanh Xuân,20.9783869,105.8364337,-889.399481,154.216244,1,1.55,60,60,3600,3102.100,2922.300,True,14.25,reality.1000.1,915,true,false
