id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_30mile_square,outside_20mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,,
1,Coffee Cây,C,Cửa hàng đồ uống,Thanh Xuân,21.0081670,105.8201771,-2577.247397,3465.612279,1,0.35,60,60,2700,6280.000,6423.000,True,4.217,reality.1000.1,974,true,false
2,Không có tên,,tourism:motel,,21.1756804,106.0705602,23445.218681,22117.102128,1,0.73,60,60,1800,44156.592,44156.592,true,,openstreetmap_20_30_ring,node:6259646985,true,true
3,Không có tên [S],S,Uỷ ban nhân dân,Thanh Xuân,20.8846754,105.8512989,653.985780,-10266.027124,1,1.03,60,60,1800,11393.200,11492.400,True,107.547,reality.1000.1,447,true,false
4,Công Ty TNHH Tep Star,,office:company,Thành phố Bắc Ninh,21.1654227,106.0603905,22388.157904,20975.214964,1,1.52,60,60,1800,42029.939,42029.939,true,,openstreetmap_20_30_ring,node:5309636322,true,true
5,WinMart+ [E],E,Siêu thị,Thanh Xuân,20.9902300,105.9538033,11296.545596,1471.108880,1,1.40,60,60,2700,19123.800,17798.700,True,0.304,reality.1000.1,285,true,false
6,Cửa Hàng Tiện Lợi BV Mart [S],S,Siêu thị,Thanh Xuân,20.8649222,105.8073088,-3913.303727,-12462.482749,1,1.77,60,60,2700,20274.500,19309.400,True,80.786,reality.1000.1,513,true,false
7,Trường Trung học cơ sở Lĩnh Nam,C,Trường học,Hoàng Mai,20.9857761,105.8910896,4785.270924,975.857796,1,1.97,60,60,2700,6447.700,8215.200,True,59.921,reality.1000.1,978,true,false
8,Trường Mầm non Đại Thanh [S],S,Trường học,Hoàng Mai,20.8299568,105.8536449,897.560157,-16350.457838,1,0.75,60,60,1800,21136.000,19524.100,True,15.965,reality.1000.1,479,true,true
9,Đảng uỷ - HĐND - UBND phường Thanh Xuân [NE],NE,Uỷ ban nhân dân,Thanh Xuân,21.0967880,105.9267271,8485.348437,13319.817873,1,1.45,60,60,1800,19433.600,20643.300,True,22.768,reality.1000.1,220,true,false
10,Trường Mầm non Tứ Hiệp (điểm Đồng Trì) [E],E,Trường học,Hoàng Mai,20.9346563,105.9887950,14929.572670,-4708.404615,1,0.30,60,60,2700,23340.200,25511.300,True,74.921,reality.1000.1,327,true,false
11,Starbucks [NE],NE,Cửa hàng đồ uống,Thanh Xuân,21.0892437,105.9130793,7068.360212,12480.929988,1,1.84,60,60,2700,19474.000,20060.900,True,4.202,reality.1000.1,234,true,false
12,WinMart+,C,Siêu thị,Thanh Xuân,20.9791093,105.8158356,-3028.005349,234.543459,1,1.28,60,60,1800,5317.800,5075.800,True,4.405,reality.1000.1,957,true,false
13,Hội đồng nhân dân - Ủy ban nhân dân phường Thanh Liệt [E],E,Uỷ ban nhân dân,Thanh Xuân,20.9740614,105.9328685,9122.981718,-326.757411,1,1.08,60,60,3600,14535.100,16127.500,True,79.668,reality.1000.1,319,true,false
14,Trung học cơ sở Nghĩa Hương,,amenity:school,,20.9731091,105.6169237,-23706.747598,-433.134988,1,1.34,60,60,3600,32483.643,32483.643,true,,openstreetmap_20_30_ring,node:6184420092,true,true
15,WinMart+ [NW],NW,Siêu thị,Hoàng Mai,21.0898864,105.7471381,-10160.550420,12552.394967,1,0.57,60,60,1800,23846.000,23676.000,True,96.358,reality.1000.1,790,true,false
16,Sky Lake,,amenity:restaurant,,20.8344011,105.6190529,-23485.433910,-15874.109548,1,1.51,60,60,1800,38835.377,38835.377,true,,openstreetmap_20_30_ring,node:7142716803,true,true
17,Doanh thắng,,shop:electronics,,20.8091803,106.0188631,18071.709460,-18681.689004,1,0.53,60,60,2700,35609.230,35609.230,true,,openstreetmap_20_30_ring,node:4789627622,true,true
18,Bến Phà,,amenity:ferry_terminal,,21.1624790,105.6434079,-20953.922141,20647.522280,1,1.42,60,60,1800,40301.895,40301.895,true,,openstreetmap_20_30_ring,node:4649644218,true,true
19,Không có tên [NW],NW,Cửa hàng đồ uống,Hoàng Mai,21.0900057,105.7588808,-8941.359954,12565.660522,1,1.43,60,60,2700,21609.900,21130.500,True,20.765,reality.1000.1,805,true,false
20,WinMart+ [S],S,Siêu thị,Thanh Xuân,20.8758286,105.8014327,-4523.392130,-11249.746402,1,1.58,60,60,2700,17893.900,18690.700,True,5.985,reality.1000.1,524,true,false
21,WinMart+ [NE],NE,Siêu thị,Thanh Xuân,21.0843585,105.9602911,11970.143994,11937.720532,1,2.00,60,60,2700,21706.600,23731.700,True,68.185,reality.1000.1,131,true,false
22,Phòng Chẩn Trị Đông Y Tuệ Tĩnh,,healthcare:yes,Phú Xuyên,20.7946764,105.8383594,-690.238434,-20296.263152,1,1.13,60,60,3600,27821.937,27821.937,true,,openstreetmap_20_30_ring,node:7464344285,true,true
23,Trường Trung học cơ sở Lĩnh Nam [S],S,Trường học,Hoàng Mai,20.8716102,105.9023286,5952.164538,-11718.811080,1,0.62,60,60,1800,16027.600,15972.100,True,9.835,reality.1000.1,509,true,false
24,Trường Mầm non Sao Mai [N],N,Trường học,Hoàng Mai,21.0867719,105.8379575,-731.190344,12206.078368,1,1.57,60,60,1800,25075.200,24713.900,True,267.784,reality.1000.1,24,true,false
25,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.1119924,105.7258822,-12367.452633,15010.470016,1,0.69,60,60,2700,24962.700,24792.700,True,169.649,reality.1000.1,848,true,false
26,WinMart+ [SW],SW,Siêu thị,Thanh Xuân,20.8824889,105.7173614,-13252.128058,-10509.154832,1,0.37,60,60,1800,25334.400,25315.300,True,5.758,reality.1000.1,593,true,false
27,WinMart+ [NE],NE,Siêu thị,Thanh Xuân,21.0899194,105.9399054,9853.590640,12556.064400,1,0.75,60,60,1800,22626.400,23623.600,True,40.262,reality.1000.1,181,true,false
28,Phường Ô Chợ Dừa [SW],SW,Chợ dân sinh,Thanh Xuân,20.9070029,105.7191491,-13066.519400,-7783.322400,1,0.41,60,60,3600,22113.700,22094.600,True,99.077,reality.1000.1,638,true,false
29,MM Mega Market Hoàng Mai [NW],NW,Siêu thị,Hoàng Mai,21.0715654,105.7615356,-8665.724296,10515.192716,1,0.89,60,60,2700,19890.200,19459.100,True,21.985,reality.1000.1,809,true,false
30,Không có tên,,shop:convenience,,20.7660675,105.7530903,-9553.294488,-23481.005900,1,1.74,60,60,3600,34729.492,34729.492,true,,openstreetmap_20_30_ring,node:5745157621,true,true
