id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_10mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,
1,Khách Sạn Golden Sunrise,,tourism:hotel,,21.0314747,105.8502460,545.280671,6064.123604,1,1.99,60,60,3600,7166.400,7490.900,true,,osm,node:1378877103,true
2,Vietcombank,,amenity:atm,,21.0324809,105.8539048,925.584315,6176.133788,1,1.89,60,60,2700,6788.300,7959.600,true,,osm,node:724829318,true
3,Ticket Ngoc Son Temple,,shop:ticket,,21.0307719,105.8533525,868.177050,5985.887908,1,0.98,60,60,3600,6618.900,7720.000,true,,osm,node:4413411292,true
4,Bãi Đỗ Xe Trần Quang Khải 1B,,amenity:parking,,21.0301730,105.8571737,1265.360904,5919.218360,1,1.60,60,60,1800,7378.600,9076.800,true,,osm,node:2302087706,true
5,WinMart+,C,Siêu thị,Hoàng Mai,20.9678793,105.8450244,2.533340,-1014.175567,1,1.82,60,60,3600,1101.200,1101.200,true,1.768,1000.1,897,true
6,Trường Quốc tế Singapore [W],W,Trường học,Hoàng Mai,20.9635886,105.7704514,-7740.037839,-1491.279639,1,0.66,60,60,2700,11691.000,11217.200,true,11.398,1000.1,710,true
7,Agribank,,amenity:atm,,21.0318842,105.8500727,527.267491,6109.709144,1,1.93,60,60,2700,7111.200,7198.900,true,,osm,node:724829017,true
8,Trường Cao đẳng Hà Nội,C,Trường học,Hoàng Mai,20.9479848,105.8213037,-2460.277707,-3226.343036,1,1.91,60,60,2700,6838.900,6971.600,true,21.984,1000.1,981,true
9,Sacombank,,amenity:atm,,21.0324180,105.8544791,985.278309,6169.131760,1,1.71,60,60,3600,7152.400,7907.800,true,,osm,node:724829703,true
10,Trường Mầm non Văn Đức (điểm Chử Xá) [W],W,Trường học,Hoàng Mai,20.9337453,105.7984638,-4831.639345,-4809.703194,1,0.47,60,60,1800,9105.200,11579.400,true,12.561,1000.1,776,true
11,Trường Trung học cơ sở Văn Đức [NW],NW,Trường học,Hoàng Mai,21.0450725,105.7939565,-5299.611548,7569.316644,1,0.44,60,60,1800,12244.600,11868.900,true,9.46,1000.1,892,true
12,Cua Hang Xang Dau So 18,,amenity:fuel,,21.0240141,105.8159405,-3020.507750,5233.609612,1,1.03,60,60,2700,7922.100,9051.600,true,,osm,node:729787518,true
13,Không có tên,,tourism:hotel,Phường Hoàn Kiếm,21.0335655,105.8500019,519.908385,6296.871460,1,1.90,60,60,3600,7298.000,7435.900,true,,osm,node:2259067327,true
14,BIDV,,amenity:atm,Cầu Giấy,21.0137872,105.8027524,-4391.307601,4095.151104,1,1.13,60,60,2700,8031.300,8213.700,true,,osm,node:1498025880,true
15,Cà Phê KOK,C,Cửa hàng đồ uống,Thanh Xuân,20.9839177,105.8155864,-3053.878637,769.213144,1,1.84,60,60,2700,5456.700,5311.800,true,0.784,1000.1,961,true
16,Trường Trung học cơ sở Văn Đức [N],N,Trường học,Hoàng Mai,21.0450725,105.9097381,6721.458802,7569.316644,1,0.23,60,60,3600,11680.600,12649.900,true,21.902,1000.1,116,true
17,Cửa Hàng Bia Hơi Hà Nội,,amenity:restaurant,,21.0336801,105.8462281,127.651390,6309.628732,1,1.46,60,60,1800,7449.200,7504.000,true,,osm,node:4226766214,true
