NUM DRONES,1
TRUCK SPEED,1
DRONE SPEED,2
0	65	150	0
1	3	12	1
2	17	12	1
3	23	9	1
4	34	11	1
5	47	11	1
6	54	12	1
7	66	16	1
8	75	7	1
9	86	6	1
10	94	8	1
11	107	9	1
12	115	14	1
13	123	15	1
14	3	32	1
15	15	32	1
16	26	34	1
17	33	34	1
18	42	34	1
19	53	25	1
20	64	32	1
21	74	32	1
22	85	34	1
23	95	28	1
24	104	25	1
25	113	31	1
26	125	34	1
27	3	48	1
28	15	46	1
29	26	50	1
30	36	54	1
31	48	50	1
32	54	46	1
33	64	54	1
34	75	44	1
35	88	49	1
36	98	50	1
37	103	54	1
38	115	47	1
39	127	49	1
40	6	75	1
41	15	75	1
42	27	73	1
43	36	73	1
44	47	68	1
45	54	72	1
46	66	68	1
47	74	67	1
48	85	65	1
49	94	74	1
50	107	65	1
51	117	65	1
52	125	68	1
53	6	84	1
54	13	95	1
55	25	94	1
56	37	84	1
57	47	87	1
58	53	95	1
59	63	86	1
60	77	93	1
61	83	89	1
62	94	95	1
63	103	92	1
64	115	95	1
65	123	93	1
66	7	114	1
67	15	111	1
68	24	112	1
69	36	108	1
70	43	112	1
71	56	105	1
72	64	112	1
73	73	112	1
74	86	107	1
75	98	108	1
76	104	113	1
77	117	115	1
78	126	109	1
79	6	127	1
80	17	125	1
81	27	134	1
82	35	126	1
83	44	131	1
84	54	132	1
85	63	124	1
86	77	127	1
87	82	134	1
88	96	128	1
89	103	126	1
90	116	130	1
91	126	134	1
92	7	152	1
93	16	147	1
94	24	153	1
95	35	151	1
96	45	154	1
97	55	146	1
98	63	155	1
99	75	151	1
100	87	154	1
101	93	156	1
102	104	151	1
103	117	153	1
104	127	148	1
105	3	164	1
106	16	172	1
107	25	165	1
108	35	175	1
109	44	169	1
110	53	174	1
111	64	168	1
112	76	171	1
113	87	173	1
114	95	174	1
115	106	168	1
116	114	169	1
117	125	169	1
118	3	190	1
119	16	188	1
120	25	195	1
121	37	186	1
122	44	189	1
123	54	194	1
124	66	192	1
125	77	192	1
126	85	188	1
127	93	185	1
128	106	192	1
129	113	193	1
130	125	195	1
131	5	207	1
132	15	213	1
133	24	209	1
134	33	214	1
135	43	206	1
136	53	211	1
137	64	213	1
138	74	212	1
139	84	212	1
140	94	209	1
141	104	215	1
142	115	206	1
143	127	209	1
144	6	229	1
145	13	227	1
146	26	235	1
147	34	225	1
148	43	227	1
149	55	225	1
150	67	229	1
151	75	234	1
152	87	230	1
153	95	235	1
154	105	228	1
155	117	225	1
156	127	230	1
157	6	249	1
158	15	246	1
159	26	255	1
160	33	246	1
161	47	248	1
162	58	252	1
163	65	248	1
164	73	247	1
165	87	249	1
166	94	245	1
167	104	256	1
168	113	246	1
169	125	253	1
170	5	266	1
171	16	274	1
172	24	267	1
173	37	266	1
174	45	267	1
175	54	266	1
176	67	267	1
177	74	265	1
178	87	264	1
179	95	271	1
180	106	264	1
181	116	271	1
182	127	273	1
183	7	287	1
184	17	294	1
185	23	287	1
186	33	284	1
187	43	288	1
188	53	295	1
189	67	288	1
190	73	286	1
191	87	293	1
192	94	284	1
193	104	291	1
194	114	294	1
195	127	290	1
