# i j vmax_ij_m_per_s road_class free_flow_speed_kmh
0 1 9.722222 suburban 35.0
0 2 9.722222 suburban 35.0
0 3 8.333333 urban 30.0
0 4 9.722222 suburban 35.0
0 5 9.722222 suburban 35.0
0 6 9.722222 suburban 35.0
0 7 8.333333 urban 30.0
0 8 8.333333 urban 30.0
0 9 9.722222 suburban 35.0
0 10 9.722222 suburban 35.0
0 11 8.333333 urban 30.0
0 12 9.722222 suburban 35.0
0 13 9.722222 suburban 35.0
0 14 9.722222 suburban 35.0
0 15 9.722222 suburban 35.0
0 16 9.722222 suburban 35.0
0 17 9.722222 suburban 35.0
0 18 9.722222 suburban 35.0
0 19 8.333333 urban 30.0
0 20 9.722222 suburban 35.0
0 21 8.333333 urban 30.0
0 22 9.722222 suburban 35.0
0 23 9.722222 suburban 35.0
0 24 9.722222 suburban 35.0
0 25 8.333333 urban 30.0
0 26 8.333333 urban 30.0
0 27 8.333333 urban 30.0
0 28 8.333333 urban 30.0
0 29 9.722222 suburban 35.0
0 30 9.722222 suburban 35.0
0 31 8.333333 urban 30.0
0 32 8.333333 urban 30.0
0 33 8.333333 urban 30.0
0 34 8.333333 urban 30.0
0 35 9.722222 suburban 35.0
0 36 9.722222 suburban 35.0
0 37 9.722222 suburban 35.0
0 38 8.333333 urban 30.0
0 39 8.333333 urban 30.0
0 40 8.333333 urban 30.0
0 41 8.333333 urban 30.0
0 42 8.333333 urban 30.0
0 43 9.722222 suburban 35.0
0 44 8.333333 urban 30.0
0 45 8.333333 urban 30.0
0 46 8.333333 urban 30.0
0 47 8.333333 urban 30.0
0 48 8.333333 urban 30.0
0 49 9.722222 suburban 35.0
0 50 8.333333 urban 30.0
0 51 9.722222 suburban 35.0
0 52 8.333333 urban 30.0
0 53 8.333333 urban 30.0
0 54 8.333333 urban 30.0
0 55 8.333333 urban 30.0
0 56 9.722222 suburban 35.0
0 57 9.722222 suburban 35.0
0 58 9.722222 suburban 35.0
0 59 8.333333 urban 30.0
0 60 8.333333 urban 30.0
0 61 9.722222 suburban 35.0
0 62 8.333333 urban 30.0
0 63 8.333333 urban 30.0
0 64 9.722222 suburban 35.0
0 65 8.333333 urban 30.0
0 66 8.333333 urban 30.0
0 67 9.722222 suburban 35.0
0 68 8.333333 urban 30.0
0 69 9.722222 suburban 35.0
0 70 9.722222 suburban 35.0
0 71 9.722222 suburban 35.0
0 72 9.722222 suburban 35.0
0 73 9.722222 suburban 35.0
0 74 8.333333 urban 30.0
0 75 8.333333 urban 30.0
0 76 9.722222 suburban 35.0
0 77 8.333333 urban 30.0
0 78 8.333333 urban 30.0
0 79 9.722222 suburban 35.0
0 80 9.722222 suburban 35.0
0 81 9.722222 suburban 35.0
0 82 9.722222 suburban 35.0
0 83 8.333333 urban 30.0
0 84 9.722222 suburban 35.0
