id x_km y_km x_m y_m dronable demand_kg drone_service_sec truck_service_sec deadline_sec
1 4.522476 5.724659 4522.475578 5724.659133 1 0.59 60 60 2700
2 4.865638 -1.858816 4865.637983 -1858.816062 0 7.65 60 60 1800
3 0.558220 7.157744 558.220246 7157.743824 1 4.81 60 60 2700
4 7.483127 -5.702398 7483.127344 -5702.398475 0 7.77 60 60 3600
5 3.067837 3.851595 3067.836895 3851.595390 1 2.57 60 60 1800
6 5.171795 -4.956453 5171.794543 -4956.452892 1 1.13 60 60 2700
7 3.105215 -9.767482 3105.215020 -9767.481961 1 3.00 60 60 3600
8 -6.001925 2.892832 -6001.924652 2892.831952 1 3.52 60 60 2700
9 -1.306842 4.224182 -1306.841566 4224.181707 1 4.08 60 60 1800
10 -5.126401 -5.642299 -5126.400798 -5642.298754 1 4.10 60 60 2700
11 9.770920 4.625545 9770.920445 4625.545298 1 1.23 60 60 3600
12 -1.460517 -0.164175 -1460.517252 -164.174877 1 4.74 60 60 1800
13 7.137851 -4.026111 7137.850741 -4026.110978 0 8.41 60 60 2700
14 -0.255225 1.176179 -255.224975 1176.179327 1 1.00 60 60 1800
15 4.735089 3.906832 4735.089058 3906.831618 1 0.96 60 60 1800
16 -2.905883 9.541897 -2905.883237 9541.896716 0 9.33 60 60 3600
17 -7.873751 -5.973271 -7873.751364 -5973.271214 1 0.70 60 60 3600
18 -5.336082 9.466545 -5336.081671 9466.544852 1 2.09 60 60 3600
19 6.216716 2.769063 6216.715992 2769.063410 1 1.21 60 60 2700
20 8.137268 3.675730 8137.267702 3675.729561 1 0.61 60 60 2700
21 0.854099 -4.694980 854.099130 -4694.979707 1 4.37 60 60 1800
22 1.308321 -8.930855 1308.320722 -8930.854666 0 9.36 60 60 2700
23 -9.109474 -0.279785 -9109.474356 -279.785185 1 3.80 60 60 2700
24 -8.376892 7.069413 -8376.892348 7069.412760 1 0.67 60 60 3600
25 6.082762 -8.348877 6082.761685 -8348.876566 0 6.33 60 60 3600
26 -7.651443 1.662412 -7651.442907 1662.411692 1 4.51 60 60 2700
27 4.617576 0.534543 4617.576141 534.542557 1 4.98 60 60 1800
28 -4.326665 -9.572154 -4326.664991 -9572.154433 1 3.66 60 60 3600
29 -1.887567 -3.115724 -1887.566857 -3115.723675 0 5.72 60 60 1800
30 -8.767897 -5.683187 -8767.896539 -5683.187356 1 4.55 60 60 3600
31 7.760185 -9.667065 7760.184625 -9667.064653 1 1.66 60 60 3600
32 2.568689 -6.062708 2568.689291 -6062.708213 1 0.51 60 60 1800
33 -6.611898 8.760183 -6611.897608 8760.183328 0 7.51 60 60 3600
34 7.672048 -0.046862 7672.048080 -46.862057 1 0.66 60 60 2700
35 5.281334 4.312366 5281.333992 4312.366327 1 2.40 60 60 2700
36 -0.812423 -9.557862 -812.422578 -9557.862345 1 1.60 60 60 3600
37 -6.545730 7.489022 -6545.729666 7489.021551 1 3.77 60 60 3600
38 -8.730551 -6.790516 -8730.551303 -6790.516156 1 2.19 60 60 3600
39 8.274127 -2.244346 8274.126566 -2244.346415 1 3.84 60 60 2700
40 -7.359856 -8.762304 -7359.856016 -8762.303602 0 6.67 60 60 3600
41 2.538353 0.750006 2538.352757 750.005693 1 3.68 60 60 1800
42 -4.140265 -4.997668 -4140.265067 -4997.668033 1 3.38 60 60 1800
43 2.108965 5.712253 2108.964827 5712.253276 1 2.33 60 60 1800
44 -7.665275 -5.181919 -7665.274551 -5181.919090 0 6.58 60 60 3600
45 6.391457 -2.605599 6391.457251 -2605.598991 1 3.13 60 60 2700
46 -4.331134 7.858904 -4331.133670 7858.903581 1 3.44 60 60 2700
47 6.147097 6.592641 6147.096646 6592.641292 1 2.63 60 60 2700
48 -6.050638 -1.129741 -6050.638249 -1129.741275 1 1.85 60 60 1800
49 5.011478 9.421315 5011.477664 9421.314563 1 1.02 60 60 3600
50 -1.454983 -2.516690 -1454.983016 -2516.690193 1 0.74 60 60 1800
51 6.827535 1.438388 6827.535332 1438.388244 1 0.53 60 60 2700
52 6.057349 -7.051082 6057.348533 -7051.082014 1 2.35 60 60 3600
53 -5.906826 -5.890081 -5906.826357 -5890.081164 0 7.17 60 60 2700
54 -6.535842 -2.234159 -6535.841920 -2234.158534 0 6.07 60 60 2700
55 -2.268085 -8.967400 -2268.084844 -8967.400223 1 4.08 60 60 3600
56 -6.042267 -2.930951 -6042.267383 -2930.950955 0 6.10 60 60 2700
57 -7.877965 -4.434347 -7877.964831 -4434.346854 1 3.85 60 60 2700
58 3.829221 4.616302 3829.220619 4616.302124 1 2.82 60 60 1800
59 7.874252 0.920398 7874.252370 920.398109 1 2.80 60 60 2700
60 -1.901519 9.819620 -1901.518796 9819.620178 1 4.55 60 60 3600
61 -8.757110 9.982676 -8757.109790 9982.675856 0 7.34 60 60 3600
62 -7.340130 -7.380208 -7340.130257 -7380.207849 0 8.11 60 60 3600
63 0.877420 9.073001 877.419633 9073.001054 1 2.59 60 60 2700
64 5.466644 7.997311 5466.644480 7997.310618 1 1.21 60 60 3600
65 -6.683250 5.521362 -6683.249921 5521.361613 0 9.73 60 60 2700
66 -3.402232 1.827743 -3402.231553 1827.743484 0 9.95 60 60 1800
67 -5.561057 -7.801812 -5561.057101 -7801.812124 1 1.33 60 60 3600
68 -4.564897 3.086747 -4564.897172 3086.747403 0 8.89 60 60 1800
69 6.186085 1.048547 6186.085357 1048.546915 1 2.23 60 60 1800
70 2.911175 7.932015 2911.174763 7932.015046 1 2.91 60 60 2700
71 6.543660 8.500438 6543.660450 8500.437517 1 2.21 60 60 3600
72 -1.696462 7.210923 -1696.461637 7210.922951 1 2.13 60 60 2700
73 3.235898 4.338944 3235.898480 4338.943621 1 3.39 60 60 1800
74 4.330882 9.058793 4330.881972 9058.792768 1 2.90 60 60 3600
75 -5.957300 -2.223634 -5957.300232 -2223.634195 1 4.27 60 60 1800
76 -1.700801 -8.847569 -1700.800875 -8847.569436 1 4.59 60 60 2700
77 -7.811932 -1.824285 -7811.931960 -1824.285441 0 8.34 60 60 2700
78 -4.933984 -1.512256 -4933.983663 -1512.255785 1 4.81 60 60 1800
79 3.494438 2.317261 3494.437567 2317.261087 1 2.80 60 60 1800
80 -8.745951 -3.599205 -8745.950540 -3599.205316 1 2.18 60 60 3600
81 -8.034324 2.572188 -8034.324261 2572.187898 1 1.68 60 60 2700
82 1.006435 5.284503 1006.435050 5284.503028 1 4.76 60 60 1800
83 -0.396494 2.299235 -396.493828 2299.235147 1 4.16 60 60 1800
84 -1.068987 -8.599872 -1068.987257 -8599.872020 1 1.36 60 60 2700
85 7.902757 2.995435 7902.756973 2995.434628 1 2.18 60 60 2700
86 -7.666360 7.572018 -7666.360326 7572.018306 1 4.51 60 60 3600
87 0.338976 -4.111022 338.976345 -4111.022063 1 1.28 60 60 1800
88 2.451212 3.336177 2451.212283 3336.177343 0 5.45 60 60 1800
89 3.082287 -8.961365 3082.287185 -8961.365088 1 3.47 60 60 3600
90 1.761210 -4.272603 1761.209962 -4272.603451 1 0.85 60 60 1800
91 -7.866772 3.950957 -7866.772244 3950.956819 1 4.48 60 60 2700
92 -2.879001 6.676772 -2879.000626 6676.772487 1 3.01 60 60 2700
93 7.722718 -1.588845 7722.718452 -1588.845491 1 2.95 60 60 2700
94 8.007056 -7.158962 8007.056371 -7158.962241 0 6.64 60 60 3600
95 7.980922 -3.444813 7980.922317 -3444.812593 1 1.28 60 60 2700
96 -0.337483 7.745096 -337.482597 7745.095638 0 7.74 60 60 2700
97 6.708843 3.204441 6708.842810 3204.441377 1 1.70 60 60 2700
98 9.107636 -0.784611 9107.635784 -784.611496 0 7.81 60 60 2700
99 -5.835269 -4.242525 -5835.269131 -4242.524802 1 4.87 60 60 2700
100 -0.984289 -1.148669 -984.289484 -1148.668731 0 7.60 60 60 1800
101 1.056104 0.676080 1056.103885 676.080479 1 2.62 60 60 1800
102 4.244853 1.544111 4244.852881 1544.111119 1 1.98 60 60 1800
103 3.617324 0.242665 3617.323593 242.665238 1 4.87 60 60 1800
104 5.267449 -1.301810 5267.448982 -1301.810231 0 8.84 60 60 1800
105 -5.530775 -4.872056 -5530.775112 -4872.055601 1 1.40 60 60 2700
106 -7.127610 9.082434 -7127.610107 9082.434268 1 2.84 60 60 3600
107 -3.495934 9.244414 -3495.934246 9244.413918 1 3.48 60 60 3600
108 -1.946764 8.361266 -1946.764394 8361.265972 1 3.88 60 60 2700
109 0.925089 -6.074757 925.088678 -6074.757432 1 3.61 60 60 1800
110 4.951544 8.507866 4951.544165 8507.866154 1 3.17 60 60 3600
111 8.518605 1.261986 8518.605437 1261.986173 1 3.45 60 60 2700
112 9.268606 0.322962 9268.606336 322.962000 0 5.40 60 60 3600
113 -9.291980 6.918551 -9291.980162 6918.550938 1 4.55 60 60 3600
114 4.622337 -8.484012 4622.336689 -8484.012050 1 1.57 60 60 3600
115 -4.007930 6.595656 -4007.930403 6595.655562 0 7.99 60 60 2700
116 9.600372 2.633082 9600.372394 2633.081790 1 2.62 60 60 3600
117 8.211469 6.032428 8211.468598 6032.427679 1 1.84 60 60 3600
118 1.383810 1.195491 1383.810043 1195.491099 1 3.67 60 60 1800
119 2.641321 -1.579755 2641.321183 -1579.755015 1 2.95 60 60 1800
