trucks_count 1
drones_count 1
customers 12
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
7125.59690493712	-3804.90420116608	1	0.288485797815753	60	60	1800
-9331.53371856222	-5362.69100765538	1	0.195491510446175	60	60	2700
-11055.8795580399	-148.825599141611	1	0.591180496592869	60	60	3600
13657.7459337478	7419.24694540435	1	0.240100829260804	60	60	3600
1046.30248428154	206.037469393254	1	1.95921138934299	60	60	1800
-5059.14546209694	408.477380074957	1	0.296358854400148	60	60	3600
15219.4884449397	-7272.52469956712	1	1.06350766911904	60	60	1800
1677.07591377697	-12194.4235069919	1	1.56594274403497	60	60	1800
-4829.80422527681	-14475.2346155381	1	1.97166716217996	60	60	2700
3908.06062140581	-5532.96113449417	1	0.217308103127555	60	60	2700
-8344.285590689	-10344.6384651885	1	0.14543339487876	60	60	2700
-5725.50393741255	899.18698296244	1	0.489820840073723	60	60	3600
