# i j vmax_ij_m_per_s road_class free_flow_speed_kmh
0 1 8.333333 urban 30.0
0 2 8.333333 urban 30.0
0 3 8.333333 urban 30.0
0 4 9.722222 suburban 35.0
0 5 8.333333 urban 30.0
0 6 8.333333 urban 30.0
0 7 9.722222 suburban 35.0
0 8 8.333333 urban 30.0
0 9 9.722222 suburban 35.0
0 10 8.333333 urban 30.0
0 11 8.333333 urban 30.0
0 12 9.722222 suburban 35.0
0 13 8.333333 urban 30.0
0 14 9.722222 suburban 35.0
0 15 9.722222 suburban 35.0
0 16 8.333333 urban 30.0
0 17 9.722222 suburban 35.0
0 18 9.722222 suburban 35.0
0 19 8.333333 urban 30.0
0 20 8.333333 urban 30.0
0 21 8.333333 urban 30.0
0 22 8.333333 urban 30.0
0 23 9.722222 suburban 35.0
0 24 8.333333 urban 30.0
0 25 8.333333 urban 30.0
0 26 8.333333 urban 30.0
0 27 8.333333 urban 30.0
0 28 8.333333 urban 30.0
0 29 8.333333 urban 30.0
0 30 9.722222 suburban 35.0
0 31 9.722222 suburban 35.0
0 32 8.333333 urban 30.0
0 33 9.722222 suburban 35.0
0 34 8.333333 urban 30.0
0 35 9.722222 suburban 35.0
0 36 9.722222 suburban 35.0
0 37 8.333333 urban 30.0
0 38 8.333333 urban 30.0
0 39 9.722222 suburban 35.0
0 40 9.722222 suburban 35.0
0 41 9.722222 suburban 35.0
0 42 8.333333 urban 30.0
0 43 8.333333 urban 30.0
0 44 8.333333 urban 30.0
0 45 9.722222 suburban 35.0
0 46 8.333333 urban 30.0
0 47 8.333333 urban 30.0
0 48 9.722222 suburban 35.0
0 49 8.333333 urban 30.0
0 50 8.333333 urban 30.0
1 0 8.333333 urban 30.0
1 2 9.722222 suburban 35.0
1 3 9.722222 suburban 35.0
1 4 9.722222 suburban 35.0
1 5 8.333333 urban 30.0
1 6 9.722222 suburban 35.0
1 7 11.111111 arterial 40.0
1 8 9.722222 suburban 35.0
1 9 9.722222 suburban 35.0
1 10 9.722222 suburban 35.0
1 11 8.333333 urban 30.0
1 12 8.333333 urban 30.0
1 13 9.722222 suburban 35.0
1 14 9.722222 suburban 35.0
1 15 9.722222 suburban 35.0
1 16 9.722222 suburban 35.0
1 17 11.111111 arterial 40.0
1 18 8.333333 urban 30.0
1 19 9.722222 suburban 35.0
1 20 8.333333 urban 30.0
1 21 8.333333 urban 30.0
1 22 8.333333 urban 30.0
1 23 8.333333 urban 30.0
1 24 8.333333 urban 30.0
1 25 9.722222 suburban 35.0
1 26 9.722222 suburban 35.0
1 27 8.333333 urban 30.0
1 28 9.722222 suburban 35.0
1 29 11.111111 arterial 40.0
1 30 9.722222 suburban 35.0
1 31 11.111111 arterial 40.0
1 32 8.333333 urban 30.0
1 33 9.722222 suburban 35.0
1 34 9.722222 suburban 35.0
1 35 8.333333 urban 30.0
1 36 9.722222 suburban 35.0
1 37 9.722222 suburban 35.0
1 38 8.333333 urban 30.0
1 39 9.722222 suburban 35.0
1 40 11.111111 arterial 40.0
1 41 9.722222 suburban 35.0
1 42 9.722222 suburban 35.0
1 43 8.333333 urban 30.0
1 44 9.722222 suburban 35.0
1 45 9.722222 suburban 35.0
1 46 9.722222 suburban 35.0
1 47 9.722222 suburban 35.0
1 48 11.111111 arterial 40.0
1 49 8.333333 urban 30.0
1 50 8.333333 urban 30.0
2 0 8.333333 urban 30.0
2 1 9.722222 suburban 35.0
2 3 8.333333 urban 30.0
2 4 8.333333 urban 30.0
2 5 8.333333 urban 30.0
2 6 8.333333 urban 30.0
2 7 9.722222 suburban 35.0
2 8 8.333333 urban 30.0
2 9 8.333333 urban 30.0
2 10 8.333333 urban 30.0
2 11 8.333333 urban 30.0
2 12 8.333333 urban 30.0
2 13 9.722222 suburban 35.0
2 14 9.722222 suburban 35.0
2 15 8.333333 urban 30.0
2 16 8.333333 urban 30.0
2 17 9.722222 suburban 35.0
2 18 8.333333 urban 30.0
2 19 8.333333 urban 30.0
2 20 8.333333 urban 30.0
2 21 8.333333 urban 30.0
2 22 8.333333 urban 30.0
2 23 8.333333 urban 30.0
2 24 8.333333 urban 30.0
2 25 8.333333 urban 30.0
2 26 8.333333 urban 30.0
2 27 8.333333 urban 30.0
2 28 9.722222 suburban 35.0
2 29 9.722222 suburban 35.0
2 30 9.722222 suburban 35.0
2 31 9.722222 suburban 35.0
2 32 8.333333 urban 30.0
2 33 9.722222 suburban 35.0
2 34 9.722222 suburban 35.0
2 35 8.333333 urban 30.0
2 36 8.333333 urban 30.0
2 37 9.722222 suburban 35.0
2 38 8.333333 urban 30.0
2 39 9.722222 suburban 35.0
2 40 9.722222 suburban 35.0
2 41 9.722222 suburban 35.0
2 42 8.333333 urban 30.0
2 43 8.333333 urban 30.0
2 44 8.333333 urban 30.0
2 45 9.722222 suburban 35.0
2 46 8.333333 urban 30.0
2 47 9.722222 suburban 35.0
2 48 9.722222 suburban 35.0
2 49 8.333333 urban 30.0
2 50 8.333333 urban 30.0
3 0 8.333333 urban 30.0
3 1 9.722222 suburban 35.0
3 2 8.333333 urban 30.0
3 4 11.111111 arterial 40.0
3 5 8.333333 urban 30.0
3 6 9.722222 suburban 35.0
3 7 11.111111 arterial 40.0
3 8 9.722222 suburban 35.0
3 9 11.111111 arterial 40.0
3 10 9.722222 suburban 35.0
3 11 8.333333 urban 30.0
3 12 8.333333 urban 30.0
3 13 9.722222 suburban 35.0
3 14 11.111111 arterial 40.0
3 15 9.722222 suburban 35.0
3 16 9.722222 suburban 35.0
3 17 11.111111 arterial 40.0
3 18 9.722222 suburban 35.0
3 19 9.722222 suburban 35.0
3 20 8.333333 urban 30.0
3 21 8.333333 urban 30.0
3 22 9.722222 suburban 35.0
3 23 9.722222 suburban 35.0
3 24 8.333333 urban 30.0
3 25 8.333333 urban 30.0
3 26 9.722222 suburban 35.0
3 27 8.333333 urban 30.0
3 28 8.333333 urban 30.0
3 29 9.722222 suburban 35.0
3 30 8.333333 urban 30.0
3 31 11.111111 arterial 40.0
3 32 8.333333 urban 30.0
3 33 8.333333 urban 30.0
3 34 8.333333 urban 30.0
3 35 8.333333 urban 30.0
3 36 11.111111 arterial 40.0
3 37 9.722222 suburban 35.0
3 38 8.333333 urban 30.0
3 39 8.333333 urban 30.0
3 40 11.111111 arterial 40.0
3 41 9.722222 suburban 35.0
3 42 9.722222 suburban 35.0
3 43 8.333333 urban 30.0
3 44 11.111111 arterial 40.0
3 45 8.333333 urban 30.0
3 46 8.333333 urban 30.0
3 47 8.333333 urban 30.0
3 48 9.722222 suburban 35.0
3 49 9.722222 suburban 35.0
3 50 8.333333 urban 30.0
4 0 9.722222 suburban 35.0
4 1 9.722222 suburban 35.0
4 2 8.333333 urban 30.0
4 3 11.111111 arterial 40.0
4 5 9.722222 suburban 35.0
4 6 9.722222 suburban 35.0
4 7 11.111111 arterial 40.0
4 8 9.722222 suburban 35.0
4 9 11.111111 arterial 40.0
4 10 8.333333 urban 30.0
4 11 9.722222 suburban 35.0
4 12 9.722222 suburban 35.0
4 13 9.722222 suburban 35.0
4 14 11.111111 arterial 40.0
4 15 11.111111 arterial 40.0
4 16 8.333333 urban 30.0
4 17 11.111111 arterial 40.0
4 18 11.111111 arterial 40.0
4 19 11.111111 arterial 40.0
4 20 8.333333 urban 30.0
4 21 8.333333 urban 30.0
4 22 11.111111 arterial 40.0
4 23 11.111111 arterial 40.0
4 24 9.722222 suburban 35.0
4 25 8.333333 urban 30.0
4 26 9.722222 suburban 35.0
4 27 9.722222 suburban 35.0
4 28 8.333333 urban 30.0
4 29 9.722222 suburban 35.0
4 30 8.333333 urban 30.0
4 31 11.111111 arterial 40.0
4 32 9.722222 suburban 35.0
4 33 8.333333 urban 30.0
4 34 8.333333 urban 30.0
4 35 9.722222 suburban 35.0
4 36 11.111111 arterial 40.0
4 37 9.722222 suburban 35.0
4 38 9.722222 suburban 35.0
4 39 9.722222 suburban 35.0
4 40 9.722222 suburban 35.0
4 41 8.333333 urban 30.0
4 42 11.111111 arterial 40.0
4 43 9.722222 suburban 35.0
4 44 11.111111 arterial 40.0
4 45 8.333333 urban 30.0
4 46 8.333333 urban 30.0
4 47 8.333333 urban 30.0
4 48 8.333333 urban 30.0
4 49 11.111111 arterial 40.0
4 50 9.722222 suburban 35.0
5 0 8.333333 urban 30.0
5 1 8.333333 urban 30.0
5 2 8.333333 urban 30.0
5 3 8.333333 urban 30.0
5 4 9.722222 suburban 35.0
5 6 8.333333 urban 30.0
5 7 9.722222 suburban 35.0
5 8 8.333333 urban 30.0
5 9 9.722222 suburban 35.0
5 10 8.333333 urban 30.0
5 11 9.722222 suburban 35.0
5 12 9.722222 suburban 35.0
5 13 8.333333 urban 30.0
5 14 9.722222 suburban 35.0
5 15 9.722222 suburban 35.0
5 16 8.333333 urban 30.0
5 17 9.722222 suburban 35.0
5 18 9.722222 suburban 35.0
5 19 8.333333 urban 30.0
5 20 8.333333 urban 30.0
5 21 9.722222 suburban 35.0
5 22 8.333333 urban 30.0
5 23 9.722222 suburban 35.0
5 24 8.333333 urban 30.0
5 25 8.333333 urban 30.0
5 26 8.333333 urban 30.0
5 27 9.722222 suburban 35.0
5 28 8.333333 urban 30.0
5 29 8.333333 urban 30.0
5 30 9.722222 suburban 35.0
5 31 9.722222 suburban 35.0
5 32 9.722222 suburban 35.0
5 33 9.722222 suburban 35.0
5 34 9.722222 suburban 35.0
5 35 9.722222 suburban 35.0
5 36 9.722222 suburban 35.0
5 37 8.333333 urban 30.0
5 38 9.722222 suburban 35.0
5 39 9.722222 suburban 35.0
5 40 8.333333 urban 30.0
5 41 9.722222 suburban 35.0
5 42 9.722222 suburban 35.0
5 43 9.722222 suburban 35.0
5 44 8.333333 urban 30.0
5 45 9.722222 suburban 35.0
5 46 8.333333 urban 30.0
5 47 8.333333 urban 30.0
5 48 9.722222 suburban 35.0
5 49 9.722222 suburban 35.0
5 50 8.333333 urban 30.0
6 0 8.333333 urban 30.0
6 1 9.722222 suburban 35.0
6 2 8.333333 urban 30.0
6 3 9.722222 suburban 35.0
6 4 9.722222 suburban 35.0
6 5 8.333333 urban 30.0
6 7 9.722222 suburban 35.0
6 8 8.333333 urban 30.0
6 9 9.722222 suburban 35.0
6 10 8.333333 urban 30.0
6 11 8.333333 urban 30.0
6 12 8.333333 urban 30.0
6 13 9.722222 suburban 35.0
6 14 9.722222 suburban 35.0
6 15 9.722222 suburban 35.0
6 16 9.722222 suburban 35.0
6 17 9.722222 suburban 35.0
6 18 8.333333 urban 30.0
6 19 9.722222 suburban 35.0
6 20 8.333333 urban 30.0
6 21 8.333333 urban 30.0
6 22 8.333333 urban 30.0
6 23 9.722222 suburban 35.0
6 24 8.333333 urban 30.0
6 25 8.333333 urban 30.0
6 26 9.722222 suburban 35.0
6 27 8.333333 urban 30.0
6 28 9.722222 suburban 35.0
6 29 9.722222 suburban 35.0
6 30 9.722222 suburban 35.0
6 31 11.111111 arterial 40.0
6 32 8.333333 urban 30.0
6 33 9.722222 suburban 35.0
6 34 9.722222 suburban 35.0
6 35 8.333333 urban 30.0
6 36 9.722222 suburban 35.0
6 37 9.722222 suburban 35.0
6 38 8.333333 urban 30.0
6 39 9.722222 suburban 35.0
6 40 9.722222 suburban 35.0
6 41 9.722222 suburban 35.0
6 42 8.333333 urban 30.0
6 43 8.333333 urban 30.0
6 44 9.722222 suburban 35.0
6 45 9.722222 suburban 35.0
6 46 8.333333 urban 30.0
6 47 9.722222 suburban 35.0
6 48 9.722222 suburban 35.0
6 49 8.333333 urban 30.0
6 50 8.333333 urban 30.0
